fiscal_year,contractingcustomer,contractingsubcustomer,fundingagency,fundingsubagency,productserviceorRndArea,PlatformPortfolio,isforeignownedandlocated,isforeigngovernment,isinternationalorganization,fundedbyforeignentity,PlaceCountryText,PlaceIsInternational,OriginIsInternational,OriginCountryText,VendorIsInternational,VendorCountryText,SumOfnumberOfActions,SumOfobligatedAmount
2015,Defense,DLA,Defense,DLA,Other,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,9,134746.8200
2001,Defense,DLA,Defense,DLA,Other,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,8,818458.0000
2012,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,10,369793.8413
2006,Defense,Navy,Defense,Navy,Missiles & Space,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,,1,,1,13367585.0000
2011,Defense,Navy,Defense,Navy,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,3,66177.9302
2010,Other Agencies,Agriculture,Other Agencies,Agriculture,Other,Other Products,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,18000.0000
2012,State and IAP,USAID,State and IAP,USAID,Other,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,-1223.1700
2014,VA,VA,VA,VA,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,3,65304.6100
2015,Defense,DLA,Defense,Navy,Aircraft,Aircraft,0,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,1219575.0000
2015,Defense,DLA,Defense,DLA,Other,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,321204.0000
2013,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2016,Defense,Other DoD,Defense,Army,Other,Land Vehicles,1,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2017,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,A,ISRAEL,1,1,ICELAND,0,UNITED STATES,10,5716816.0000
2006,Other Agencies,Justice,Other Agencies,Justice,Clothing & Subsistence,Other Products,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,50396.0000
2003,Defense,Air Force,Defense,Air Force,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,64000.0000
2006,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,3149.0000
2008,State and IAP,USAID,State and IAP,USAID,ERS,Other Services,0,0,0,,ISRAEL,1,1,UNITED KINGDOM,0,UNITED STATES,1,6800.0000
2010,Defense,Army,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,264920.0000
2014,Other Agencies,Agriculture,Other Agencies,Agriculture,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,-2034.0400
2003,Defense,Army,Defense,Army,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,3,1293560.0000
2009,Defense,Other DoD,Defense,Air Force,PAMS,Other Services,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,58750.0000
2008,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,12,174566.0000
2005,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,9,829315.7500
2008,Defense,Navy,Defense,Navy,Aircraft,Aircraft,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,4047.9299
2012,Defense,Air Force,Defense,Air Force,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,142658.0000
2016,Defense,DLA,Defense,DLA,Electronics & Communications,Land Vehicles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,127830.6016
2014,Other Agencies,Commerce,Other Agencies,Commerce,Other,Facilities and Construction,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2017,Defense,DLA,Defense,Air Force,Electronics & Communications,Aircraft,0,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,307860.0000
2018,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,205981.6719
2007,Defense,Army,Defense,Army,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,3542.0000
2006,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,GERMANY,0,UNITED STATES,1,45769.0000
2013,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,A,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,15,13019952.0000
2013,Defense,DLA,Defense,DLA,Other,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,47220.0000
2014,Defense,DLA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,3,9934.2000
2016,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,150000.0000
2006,Defense,Air Force,Defense,Air Force,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,4,544040.0000
2003,Defense,Army,Defense,Army,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,30000.0000
2007,Defense,Navy,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,1,,1,-500.0000
2010,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,0,UNITED STATES,1,,1,0.0000
2010,HHS,HHS,HHS,HHS,Clothing & Subsistence,Other Products,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,32625.0000
2007,Defense,DLA,Defense,DLA,ERS,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,140.0000
2000,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,9,402000.0000
2002,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,9,328000.0000
2003,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,BANGLADESH,0,UNITED STATES,3,106834.0000
2011,State and IAP,State,State and IAP,State,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,4,13197.0303
2007,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,3,218476.0000
2003,Other Agencies,Interior,Other Agencies,Interior,ICT,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,60344.0000
2016,Defense,DLA,Defense,DLA,Other,Ships & Submarines,0,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2017,Defense,MDA,Defense,MDA,Applied Research (6.2),Missile Defense,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,2300000.0000
2017,Defense,Army,Defense,Army,Electronics & Communications,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,42309440.0000
2013,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,NULL,NULL,0,UNITED STATES,1,2225.0000
2016,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,15,82354.8902
2016,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,-4162.9801
2016,Defense,Navy,Defense,Navy,Other,Facilities and Construction,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,74000.0000
2016,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,1,0,0,A,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,24615.1797
2016,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,A,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,1870.0000
2007,Other Agencies,Interior,Other Agencies,Interior,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,28300.0000
2004,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,1770.0000
2001,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,120000.0000
2013,Defense,DLA,Defense,DLA,Other,Land Vehicles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,14418.0400
2013,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,1,,,1,1,,1,ISRAEL,0,0.0000
2014,State and IAP,State,State and IAP,State,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,4,23810.4500
2010,Defense,Navy,Defense,Navy,Other,Facilities and Construction,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,12,6499550.0000
2010,Defense,Army,Defense,Army,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,7,542850.4361
2011,Defense,Army,Defense,Army,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,-168765.2031
2006,Defense,Navy,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,5400.0000
2007,HHS,HHS,HHS,HHS,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,2775.0000
2006,HHS,HHS,HHS,HHS,Clothing & Subsistence,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,34992.0000
2009,Defense,Navy,Defense,Navy,Clothing & Subsistence,Other Products,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,48054.4492
2008,VA,VA,VA,VA,Clothing & Subsistence,Other Products,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,45,133052.6807
2009,Defense,DLA,Defense,DLA,Electronics & Communications,Aircraft,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,8316.0000
2001,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,15,4808000.0000
2002,Defense,Navy,Defense,Navy,Other,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,195520.0000
2009,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,125300.0000
2016,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,NETHERLANDS,0,UNITED STATES,1,-247.5900
2016,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,0,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2016,Defense,Army,Defense,Army,Clothing & Subsistence,Other Products,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,226457.1563
2000,Defense,Navy,Defense,Navy,Other,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,79495.0000
2017,Defense,DLA,Defense,Army,Launchers & Munitions,Land Vehicles,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,308280.0000
2013,State and IAP,USAID,State and IAP,USAID,FRS&C,Facilities and Construction,1,0,1,X,,1,NULL,NULL,1,ISRAEL,1,460695.0000
2013,State and IAP,USAID,State and IAP,USAID,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,5,4777.0500
2015,Defense,DLA,Defense,DLA,Electronics & Communications,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,0.0000
2015,Defense,Navy,Defense,Navy,ERS,Other Services,1,0,0,X,ISRAEL,1,1,MALTA,1,MALTA,2,0.0000
2016,HHS,HHS,HHS,HHS,MED,Other Services,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,24960.0000
2016,Defense,Army,Defense,DEPARTMENT OF DEFENSE,FRS&C,Facilities and Construction,1,0,0,X,PANAMA,1,1,PANAMA,1,ISRAEL,6,41510.6597
2011,Other Agencies,EPA,Other Agencies,EPA,ICT,"Electronics, Comms, & Sensors",1,0,0,,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,3168.0000
2012,HHS,HHS,HHS,HHS,MED,Other Services,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,17230.0000
2010,GSA,GSA,GSA,GSA,PAMS,Facilities and Construction,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,0.0000
2003,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,,1,,1,25000.0000
2013,Defense,DLA,Defense,DLA,Other,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,19093.1800
2013,State and IAP,USAID,State and IAP,USAID,FRS&C,Facilities and Construction,1,0,1,,,1,1,,1,ISRAEL,0,25000.0000
2008,Defense,Army,Defense,Army,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,3,37640.0000
2010,Defense,Air Force,Defense,Air Force,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,40000.0000
2007,Defense,DLA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,8,98515.0000
2007,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,19,12127452.0000
2003,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,3,1024400.0000
2008,Defense,Navy,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2014,Defense,DLA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,94973.0000
2013,HHS,HHS,HHS,HHS,Clothing & Subsistence,Other Products,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,0.0000
2011,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,GERMANY,0,UNITED STATES,1,24758.2109
2017,State and IAP,State,State and IAP,State,Clothing & Subsistence,Other Products,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,33,166796.8887
2017,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,UGANDA,0,UNITED STATES,1,9145.5000
2017,Defense,Army,Defense,Army,Other,Facilities and Construction,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,88201.4296
2001,GSA,GSA,GSA,GSA,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,26000.0000
2010,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,20000.0000
2009,HHS,HHS,HHS,HHS,Other,Facilities and Construction,1,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,50000.0000
2013,State and IAP,State,State and IAP,State,PAMS,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,5,75281.8200
2013,Defense,DLA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,12000.0000
2014,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,,,1,1,,1,ISRAEL,0,0.0000
2010,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,11,472259.0313
2002,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,5,198000.0000
2002,Defense,Other DoD,Defense,Other DoD,Other,Other Products,0,0,0,,NULL,1,1,ISRAEL,0,UNITED STATES,1,336510.0000
2012,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,4,0.0000
2008,Defense,Air Force,Defense,Other DoD,Launchers & Munitions,Ordnance and Missiles,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,128792.0000
2011,Other Agencies,Commerce,Other Agencies,Commerce,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,63800.0000
2017,VA,VA,VA,VA,Clothing & Subsistence,Other Products,0,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,51500.0000
2009,Other Agencies,Commerce,Other Agencies,Commerce,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,4990.0000
2010,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,36400.0195
2013,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,176,3194565.7900
2015,VA,VA,VA,VA,Clothing & Subsistence,Other Products,1,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,30677.5500
2003,Other Agencies,Interior,Other Agencies,Interior,PAMS,Other R&D and Knowledge Based,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2016,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Agencies,BROADCASTING BOARD OF GOVERNORS,ERS,Other Services,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,0.0000
2004,Defense,Army,Defense,Army,Electronics & Communications,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,6,342460.0000
2000,Defense,Other DoD,Defense,Other DoD,Applied Research (6.2),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,176651.0000
2010,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,21,815259.6560
2012,Other Agencies,All other Customers,Other Agencies,All other Customers,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,2,25527.0000
2009,Defense,Navy,Defense,Navy,Clothing & Subsistence,Other Products,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,49900.0000
2008,State and IAP,State,State and IAP,State,PAMS,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,5,87750.0000
2017,Defense,DLA,Defense,DLA,Other,Land Vehicles,1,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,6640.0000
2013,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,9368.6000
2014,Defense,Navy,Defense,Navy,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,7,82770.0000
2015,HHS,HHS,HHS,HHS,Other,Facilities and Construction,1,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,3,127860.0000
2004,Defense,Army,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,0,1,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,147150.0000
2011,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,,1,1,,1,ISRAEL,0,0.0000
2017,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,39,561281.7597
2007,Defense,Air Force,Defense,Air Force,Ground Vehicles,Land Vehicles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2010,State and IAP,USAID,State and IAP,USAID,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,18758.0000
2012,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,1,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,14860.0996
2009,Defense,DLA,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2005,NASA,NASA,NASA,NASA,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,49700.0000
2002,Defense,Army,Defense,Army,Other,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,-1000.0000
2011,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,14000.0000
2008,Other Agencies,Commerce,Other Agencies,Commerce,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,94801.2422
2006,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,GERMANY,1,,1,6516.0000
2012,Defense,Army,Defense,Army,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,9,86849.5199
2010,Defense,Navy,Defense,Navy,Other,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,5330.0000
2010,Defense,Navy,Defense,Navy,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,0.0000
2018,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,8,237050.4722
2017,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,37400.0000
2008,Other Agencies,Agriculture,Other Agencies,Agriculture,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,64855.2813
2016,Defense,Army,Defense,Army,Engines & Power Plants,"Electronics, Comms, & Sensors",1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,140490.0000
2016,Defense,Other DoD,Defense,DLA,Engines & Power Plants,Aircraft,1,0,1,X,,1,1,,1,ISRAEL,0,0.0000
2017,Defense,Navy,Defense,Navy,Clothing & Subsistence,Other Products,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,45911.8398
2014,Other Agencies,Commerce,Other Agencies,Commerce,Other,Facilities and Construction,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2018,Defense,Air Force,Defense,Air Force,Aircraft,Aircraft,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2008,Other Agencies,Interior,Other Agencies,Interior,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,899.0000
2007,Defense,Navy,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,31200.0000
2011,State and IAP,State,State and IAP,State,Other,Other Products,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,2,6955.1201
2010,Defense,DLA,Defense,Air Force,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,1351520.0000
2001,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,236000.0000
2009,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,6,1983782.1250
2011,VA,VA,VA,VA,Clothing & Subsistence,Other Products,1,0,0,,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,4470.0000
2011,Defense,Army,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,2313155.0000
2004,State and IAP,State,Other Agencies,Justice,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ICELAND,1,125946.8203
2010,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,286186.2364
2011,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,16000.0000
2002,Defense,Army,Defense,Army,Advanced Component Development & Prototypes (6.4),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,2242953.0000
2011,Defense,Army,Defense,Army,ERS,Other Services,1,0,0,,,1,1,,1,ISRAEL,0,0.0000
2017,Defense,Other DoD,Defense,Navy,Aircraft,Aircraft,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2007,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,53800.0000
2014,Defense,DLA,Defense,DLA,Other,Ships & Submarines,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,7,401935.2000
2014,State and IAP,USAID,State and IAP,USAID,ICT,"Electronics, Comms, & Sensors",1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,9750.0000
2015,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,22494.7096
2003,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2016,Defense,Other DoD,Defense,Navy,Aircraft,Aircraft,0,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2012,Defense,DLA,Defense,Air Force,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,8,-2189202.0000
2008,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,6,256610.3750
