"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AWACS UPGRADE",682,,,,,,,,,,,,,,,,,,,383954.0313,-11501,-322995.3438,0,-26881.1699,
"Advanced Engine Development",2260,,,,,,,,,,,,,,,,-22785.5,,0,0,0,0,0,0,0
"B-1",1797,22839148,21178709,23474464,386801,,,,,125306.4033,109785.885,1219956.9752,-497058.0294,593625,485777.92,243197,-109812.0918,-163788.5327,0,-242284.9375,-190105.4063,-39083.9102,-18200.4805,,
"B-2 DMS-M",2145,,,,,,,,,,,,,,,,,,,,,0,,,
"B-2 EHF",635,,,,,,,,,3806472.3247,3989688.928,349752.8097,7254711.8098,5158767.1085,22228501.29,4518540.7,866706.0899,-71466,-584015,-338850,,0,,,
"B-2 RMP",1370,,,,,,,36855,,2506567,0,0,,35652405,0,41733,0,,,,,,,,
"B-2 STEALTH",1883,,,,,,,,,,-39980.4803,-213016.6484,-167103.0078,-76929.0908,,,0,0,-1030165.3159,0,,,,,
"B-2A",1860,,,,,,,,,184734,-1715902.1895,3237507.2188,188585463.1875,32282124.8833,37585701.59,421453.47,-743991,0,-267522.2852,9532773,-110057.5977,8025,0,-27526.6094,0
"B-52 OAS/CMI MODS",1868,,,,,,,,,501346.8,1283021.2413,1352385,1259514.009,193455.4688,1316233.63,5615466.7,-10928,0,,0,-24542.5098,,0,,
"B-52 STRATO FORTRESS",1881,6700895,16687472,14161865,488110,,,,,,-157695.3146,,-300572.1407,-403324.5156,-109867.34,-220415.13,0,,,,,,,,
"B1-B",64,,,,,,,,,16297792.4976,10862400.7806,1605366.9053,7901354.9028,2475983.283,5279966.425,2018122.2003,-1457325.4932,-385508.2622,-1311891.8336,-410829.8888,-37958,-122040.6524,-29605.1797,-7177.1602,-343492.3125
"B1-B CMUP",693,,,,,0,,,,,,-146389.5781,-2112156.75,-543250.4302,-5455023,-3993008.67,-153362.0469,-3304058.125,-50325.0195,-3145305,-4020013,-2645.8999,,,
"BALLISTIC MISSILE DEFENSE",137,1283215559,757325858,268837955,225958895,60000,,,,-80670.8281,-680709.9008,-263200.7461,-517101.6201,,,,,,0,-86754.8106,0,0,0,0,0
"BAMS",1367,,,,,,,,,,,,,,-136126.8499,,,,-441024.5938,0,734580,20748488.0626,-143428.4766,-4390.5,-46330.83
