"principalnaicscode","principalnaicscodeText","principalNAICS2DigitCode","principalNAICS3DigitCode","principalNAICS4DigitCode","NAICS_shorthand","NAICS_unabbreviated","CriticalTech","FPDS_AnyTag","DeepTech","HighTech","Biotechnology","Quantum","FutureG","AdvMaterials","TrustedAI","SysOfSys","Microelectronics","Space","Renewable","Computing","HMI","DirectedEnergy","Hypersonics","SensorCyber","ComponentTech","ExIm_AnyTag","IsFormerCFIUScriticalTech","HighTechBLS"
23812,"Structural Steel and Precast Concrete Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23813,"Framing Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23814,"Masonry Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23815,"Glass and Glazing Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23816,"Roofing Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23817,"Siding Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23819,"Other Foundation, Structure, and Building Exterior Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23821,"Electrical Contractors and Other Wiring Installation Contractors","23","238","2382","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23822,"Plumbing, Heating, and Air-Conditioning Contractors","23","238","2382","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23829,"Other Building Equipment Contractors","23","238","2382","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23831,"Drywall and Insulation Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23832,"Painting and Wall Covering Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23833,"Flooring Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23834,"Tile and Terrazzo Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23835,"Finish Carpentry Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23839,"Other Building Finishing Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23891,"Site Preparation Contractors","23","238","2389","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
23899,"All Other Specialty Trade Contractors","23","238","2389","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31111,"Animal Food Manufacturing","31-33","311","3111","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31121,"Flour Milling and Malt Manufacturing","31-33","311","3112","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31122,"Starch and Vegetable Fats and Oils Manufacturing","31-33","311","3112","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31123,"Breakfast Cereal Manufacturing","31-33","311","3112","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31131,"Sugar Manufacturing","31-33","311","3113","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31134,"Nonchocolate Confectionery Manufacturing","31-33","311","3113","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31135,"Chocolate and Confectionery Manufacturing","31-33","311","3113","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31141,"Frozen Food Manufacturing","31-33","311","3114","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31142,"Fruit and Vegetable Canning, Pickling, and Drying","31-33","311","3114","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31151,"Dairy Product (except Frozen) Manufacturing","31-33","311","3115","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31152,"Ice Cream and Frozen Dessert Manufacturing","31-33","311","3115","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31161,"Animal Slaughtering and Processing","31-33","311","3116","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31171,"Seafood Product Preparation and Packaging","31-33","311","3117","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31181,"Bread and Bakery Product Manufacturing","31-33","311","3118","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31182,"Cookie, Cracker, and Pasta Manufacturing","31-33","311","3118","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31183,"Tortilla Manufacturing","31-33","311","3118","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31191,"Snack Food Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31192,"Coffee and Tea Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31193,"Flavoring Syrup and Concentrate Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31194,"Seasoning and Dressing Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31199,"All Other Food Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31211,"Soft Drink and Ice Manufacturing","31-33","312","3121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31212,"Breweries","31-33","312","3121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31213,"Wineries","31-33","312","3121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31214,"Distilleries","31-33","312","3121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31223,"Tobacco Manufacturing","31-33","312","3122","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31311,"Fiber, Yarn, and Thread Mills","31-33","313","3131","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31321,"Broadwoven Fabric Mills","31-33","313","3132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31322,"Narrow Fabric Mills and Schiffli Machine Embroidery","31-33","313","3132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31323,"Nonwoven Fabric Mills","31-33","313","3132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31324,"Knit Fabric Mills","31-33","313","3132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31331,"Textile and Fabric Finishing Mills","31-33","313","3133","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31332,"Fabric Coating Mills","31-33","313","3133","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31411,"Carpet and Rug Mills","31-33","314","3141","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31412,"Curtain and Linen Mills","31-33","314","3141","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31491,"Textile Bag and Canvas Mills","31-33","314","3149","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31499,"All Other Textile Product Mills","31-33","314","3149","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31511,"Hosiery and Sock Mills","31-33","315","3151","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31519,"Other Apparel Knitting Mills","31-33","315","3151","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31521,"Cut and Sew Apparel Contractors","31-33","315","3152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31522,"MenÆs and BoysÆ Cut and Sew Apparel Manufacturing","31-33","315","3152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31524,"WomenÆs, GirlsÆ, and InfantsÆ Cut and Sew Apparel Manufacturing","31-33","315","3152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31528,"Other Cut and Sew Apparel Manufacturing","31-33","315","3152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31599,"Apparel Accessories and Other Apparel Manufacturing","31-33","315","3159","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31611,"Leather and Hide Tanning and Finishing","31-33","316","3161","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31621,"Footwear Manufacturing","31-33","316","3162","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31699,"Other Leather and Allied Product Manufacturing","31-33","316","3169","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32111,"Sawmills and Wood Preservation","31-33","321","3211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing","31-33","321","3212","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32191,"Millwork","31-33","321","3219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32192,"Wood Container and Pallet Manufacturing","31-33","321","3219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32199,"All Other Wood Product Manufacturing","31-33","321","3219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32211,"Pulp Mills","31-33","322","3221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32212,"Paper Mills","31-33","322","3221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32213,"Paperboard Mills","31-33","322","3221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32221,"Paperboard Container Manufacturing","31-33","322","3222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32222,"Paper Bag and Coated and Treated Paper Manufacturing","31-33","322","3222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32223,"Stationery Product Manufacturing","31-33","322","3222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32229,"Other Converted Paper Product Manufacturing","31-33","322","3222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32311,"Printing","31-33","323","3231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32312,"Support Activities for Printing","31-33","323","3231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32411,"Petroleum Refineries","31-33","324","3241","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing","31-33","324","3241","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32419,"Other Petroleum and Coal Products Manufacturing","31-33","324","3241","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32511,"Petrochemical Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32512,"Industrial Gas Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32513,"Synthetic Dye and Pigment Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32518,"Other Basic Inorganic Chemical Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32519,"Other Basic Organic Chemical Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32521,"Resin and Synthetic Rubber Manufacturing","31-33","325","3252","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32522,"Artificial and Synthetic Fibers and Filaments Manufacturing","31-33","325","3252","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
32531,"Fertilizer Manufacturing","31-33","325","3253","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32532,"Pesticide and Other Agricultural Chemical Manufacturing","31-33","325","3253","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32541,"Pharmaceutical and Medicine Manufacturing","31-33","325","3254","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
32551,"Paint and Coating Manufacturing","31-33","325","3255","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32552,"Adhesive Manufacturing","31-33","325","3255","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32561,"Soap and Cleaning Compound Manufacturing","31-33","325","3256","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32562,"Toilet Preparation Manufacturing","31-33","325","3256","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32591,"Printing Ink Manufacturing","31-33","325","3259","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32592,"Explosives Manufacturing","31-33","325","3259","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32599,"All Other Chemical Product and Preparation Manufacturing","31-33","325","3259","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
32611,"Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32614,"Polystyrene Foam Product Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32615,"Urethane and Other Foam Product (except Polystyrene) Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32616,"Plastics Bottle Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32619,"Other Plastics Product Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32621,"Tire Manufacturing","31-33","326","3262","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32622,"Rubber and Plastics Hoses and Belting Manufacturing","31-33","326","3262","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32629,"Other Rubber Product Manufacturing","31-33","326","3262","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","31-33","327","3271","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32712,"Clay Building Material and Refractories Manufacturing","31-33","327","3271","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32721,"Glass and Glass Product Manufacturing","31-33","327","3272","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32731,"Cement Manufacturing","31-33","327","3273","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32732,"Ready-Mix Concrete Manufacturing","31-33","327","3273","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32733,"Concrete Pipe, Brick, and Block Manufacturing","31-33","327","3273","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32739,"Other Concrete Product Manufacturing","31-33","327","3273","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32741,"Lime Manufacturing","31-33","327","3274","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32742,"Gypsum Product Manufacturing","31-33","327","3274","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32791,"Abrasive Product Manufacturing","31-33","327","3279","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32799,"All Other Nonmetallic Mineral Product Manufacturing","31-33","327","3279","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33111,"Iron and Steel Mills and Ferroalloy Manufacturing","31-33","331","3311","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33121,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","31-33","331","3312","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
