"ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Ground Vehicles","3030","BELTING DRIVE BELTS FAN BELTS & ACC",,,,,,,,,,,,,,,,6206,,,,,,,,,,,,,,,,,,,
"Ground Vehicles","3040","MISC POWER TRANSMISSION EQ",,,,,,,,,,,,,,,671392,3162098,2159927,839976.8955,1348616.3868,227448.2096,18531,6200,,139560,,,,,89071.6172,138805,111944,168850,12695,,
"Ground Vehicles","4910","MOTOR VEHICLE MAINT EQ",,,,,,,,,,,,,,,7570,279610,358268,182161.7114,202324.0508,440449.3731,140008,332120,,,,,,,,,,,,,
"ICT","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",,,,,,,,,,,,,,,,,,,,,,,,,1960000,1657997,0,,,,,,-26461.7598,,
"ICT","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS",,,,,,,,,,,,,,,,,,,,,,153830.3984,156907.0156,160045.15,163246.05,166510.9688,42460.3008,,,,,,,,
"ICT","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24248.8398,,
"ICT","J058","MAINT-REP OF COMMUNICATION EQ",,,,,,,,,,,,,,,35190,174658,177952,,59700,,,,,,,,,,,,,,,,
"ICT","J070","MAINT-REP OF ADP EQ & SUPPLIES",,,,,,,,,,,,,,,337266,867845,437780,,,,,,,,,,,33591.3008,,,-4303.6802,,,,
"ICT","N058","INSTALL OF COMMUNICATION EQ",,,,,,,,,,,,,,,,,,,,,,,,,124815,0,,,,,,,,,
"ICT","R415","PROF SVCS/TECH SHARING-UTIL",2834000,2858000,,-2817416,,,-90533,,,,,,,,,,,,11412695.0703,,320402.8438,278645.5625,,-197626.6,14378379.75,19308763.27,19464901.4219,3190824,-155892.0117,-48852.3203,-88778.9866,-282570.25,-67794.6563,-46064.6992,
"Launchers & Munitions","1005","GUNS, THROUGH 30 MM",,,,,,,,,,,,,,,1638675,6404502,10220540,6931887.2194,26669381.2008,9849176.2559,1458907.6854,8557986.08,-156128.4805,342474.88,741920,0,-280578,-66905.4375,,,2915908.8555,0,0,,
"Launchers & Munitions","1010","GUNS, OVER 30 MM UP TO 75 MM",,,,,,,,,,,,,,,,,2360538,,,1370118.6306,160295.2803,,,,,,,,,,,,,,
"Launchers & Munitions","1015","GUNS, 75 MM THROUGH 125 MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,374400,,,,,,
"Launchers & Munitions","1040","CHEMICAL WEAPONS AND EQUIPMENT",,,,,,,,,,,,,,,,112827,-1000,1061414.1992,1026273,,0,,,,,,,,,,,,,,
"Launchers & Munitions","1055","LAUNCHERS, ROCKET AND PYROTECHNIC",91902000,45530000,35835828,24931099,20848301,8096460,32901074,93897162,16096150,37698415,121920844,182871741,223925929,98390390,92377925,57725883,81986689.625,59327831.4994,32614990.7329,131634233.1058,53938033.3224,41733400.7721,52859481.2681,15850119.44,43603731.14,31932359.978,40230970.9501,16694733.0332,9634190.8507,36600024.1259,16861332.6171,77113231.1208,20211488.3423,70378144.6627,6699467.3527
"Launchers & Munitions","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT",,,,,,,,,,,,,,,,2094422,,,,,,,,,,,,,,,,,,,
"Launchers & Munitions","1090","ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES",,,,,,,,,,,,,,,,,,277845.4063,,,,,,,,,,,,,,,,,
"Launchers & Munitions","1095","MISCELLANEOUS WEAPONS",,,,,,,,,,,,,,29961,402700,5e+05,,2046666.4688,3601118.2905,2527448.7187,1529060.875,-180944.2988,,791071.52,0,0,0,0,6331791,0,0,301626,0,0,
"Launchers & Munitions","1305","AMMUNITION, THROUGH 30 MM",27737000,280055000,227881395,175747620,116891433,134657158,115779194,127689147,149208012,153935988,320328150,337734521,314998867,465533009.5801,457432059,992020902.5938,900249851.3071,1063748556.1022,1338790780.9272,1171014541.8578,1220265336.7141,1176005721.5729,977972068.355,749591273.86,631739678.6408,664440572.2159,599835992.6817,738324393.7807,882576733.0995,759477177.1313,815456262.8909,666544844.4918,723887533.9983,903573744.02,18754753.1091
"Launchers & Munitions","1320","AMMUNITION, OVER 125 MM",2273000,178360000,190722461,123326984,18170866,39352479,99736258,26185498,43894446,108518712,84818962,99060829,45541732,79893933,90552388.125,139765564.9375,280760241,105378791.5176,359889093.1754,548574800.1712,398419419.4408,548128048.2896,400733835.9316,391326006.3156,205779891.14,130536300.0909,223638811.2791,320325612.795,519557305.7575,610552359.9338,448343044.5995,484142125.0459,267009605.6474,3198692113.7721,108912839.75
"Launchers & Munitions","1360","DEPTH CHARGE INERT COMPONENTS",,,,,,,,,,,,,,,,,,,,,976686105.93,5329268,-1000,-240408,-4383745.67,0,-44552.5781,-138217.6724,,,-199587.3145,,,,
"Launchers & Munitions","1377","CARTRIDGE & PROPELLANT DEVICES",80406000,73057022,55159129,70930923,63021976,68681457,90011447,60436359,73967689,74518425,68779168,105692004,99806902,82728722,130782564,86849537,103304052.4465,155830560.3089,99102727.5002,109607615.4408,172168333.0059,108185649.6507,123282242.0527,104014376.515,110577071.2766,127009567.58,171327275.6897,170873617.9957,168175917.8808,202214090.5326,178040533.6839,194559511.5431,225834458.1055,216444850.6619,9338024.4403
"Launchers & Munitions","1390","FUZES AND PRIMERS",58497000,140543000,200616540,90765828,34428991,90177199,88136596,36089868,41654520,83863551,69072584,70552059,85966398,203924835,104523917,149376848,111171652,160352224.911,247400740.319,135909632.6779,185114694.4686,154484910.3209,155292055.6733,183792632.1219,148638660.8523,298622374.5718,195747073.8039,305584813.5611,497564379.1517,365451964.7733,307981613.1001,350317440.3724,319291203.7384,364938054.7481,22884510.5
"Launchers & Munitions","1395","MISCELLANEOUS AMMUNITION",,,,,,,,,,,,,,,,135863211,19001708,,,0,48215076,1269715.5605,0,,0,,,,,,,,,,
"Launchers & Munitions","1398","AMMUNITION HANDLING & SERVICING EQ",,,,,,,,,,,,,,,,,,,94084.6797,,,,,,,,,,,,,,,,
"Launchers & Munitions","4931","FIRE CONT MAINT EQ",,,,,,,,,,,,,,,,,,,,,,,12971,,,,,,,,,,,,
"Launchers & Munitions","4933","WEAPONS MAINT EQ",,,,,,,,,,,,,,,16503,19698,,37931.9199,127876.8828,,5737.5,,,,,,,,,,,,,,
"Launchers & Munitions","8140","AMMUNITION & NUCLEAR ORDNANCE BOXES",863000,,884435,,473352,,,,,,,,,,14695,,15278,,1452,116819.8672,594,740,555,251558.47,,,2932490,1758681,-0.04,0,1773158.4219,-541847.1875,,,
"MED","Q201","GENERAL HEALTH CARE SERVICES",,,,,,,,,,,,,,,-360,,,,,,,,,,,,,,,,,,,,
"Missiles & Space","1336","GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS",13291000,49292000,15178055,105210830,24835030,51237236,59965849,454221,19138348,16994732,12170389,10145748,22117006,37618593,27986872,10460385,7004992,326891766.6853,828456726.3894,750424910.8726,696460798.8589,231118259.902,188823146.6899,155071197.5,7388809.72,-3339354.1219,6684590.7954,34286879.5618,3621736.0079,-375363.8818,1601715,2473146.355,178674131.25,1634390,0
"Missiles & Space","1337","GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",40600000,37451000,24014406,12094577,22739505,13178190,41005921,27835102,25535802,-1155268,148000,8249967,-5406633,2737445,69823356,172749508,275612999,314908531.6797,282307407.4375,286918515.194,167699365.1361,1427719174.9356,480864910.3009,224153892.98,191460426.12,115349249.7097,98569191.1718,132923742.613,96787269.3828,96075265.4923,169046927.5951,107780880.1281,104783866.958,121199508.4062,3750
"Missiles & Space","1338","GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",3233000,6117000,12558639,50978104,34568567,6817579,250287796,248212971,243214668,177425030,196317320,118241106,93584496,75874262,-1837594,1728792,753292,6275523.6133,12156675.5283,-1322821.0824,86613.3008,680338.9805,230486.51,6339.17,-1399.34,32018594.9096,26743737.55,74356725.0097,28052.9008,227592026.5938,66422122.3281,349731310.6875,55637896.375,62425162.75,-741921
"Missiles & Space","1340","ROCKETS & ROCKET AMMUNITION",,,,,,,,,,-216324,,,,,621718,166772121,150350793,46373200.4038,887027,682579.3438,-1253180.8125,-37942.9883,-1087750.0313,-484573.42,-52851.67,-21000.0098,-212583.6025,,5012.4199,,,0,,,
"Missiles & Space","1410","GUIDED MISSILES",2266192000,3737718051,2074666936,2392359195,2378723144,1751537733,1900617921,1958399041,1105597376,1189155050,1803535702,2121860282,4261380726,4114797277.25,5029009098,4556187660,4191692582.5313,4602929338.8474,4774257988.494,5081874032.5077,4264954591.5354,4787733954.2995,5487904024.8197,6665949393.94,3516447854.05,3981100075.7976,4656987160.9529,5733905508.5728,10093861746.1514,8348364725.4515,12082606040.5549,6812894879.8085,8679558298.3806,9824785903.4765,850934462.2739
"Missiles & Space","1420","GUIDED MISSILE COMPONENTS",807431000,1040083177,1234622356,808162015,1107255788,951311513,741341025,704493644,1100550188,833864944,516980322,442891329,524612712.2734,1092132556.3008,1042539226,864856774,372134435.3501,397093739.0212,582639135.4936,94892371.2086,224576377.4378,176353744.4495,1404572094.2491,1447770896.4541,1513913294.0985,2634447443.3376,3338523784.6727,1362532075.179,2727432397.0555,1803960002.3783,1644367042.923,1939964982.162,901999405.7714,662385622.1818,180206107.9608
"Missiles & Space","1425","GUIDED MISSILE SYSTEMS, COMPLETE",2145656000,1347969000,1542787635,955181041,240560274,197338746,91726145,115906643,209404222,1002090532,491071255,349593171,389197729,192534154,124450417,122856184,490398175,493744172.6008,541162828.25,357797631.2011,204919772.2871,16433526.5869,71289041.1797,77233090.26,33509188.98,1280340711.41,103910233,741345918.4355,1876886917.6602,1746256012.9073,1650767090.3555,1209973517.05,875559992.5137,2049561344.7911,21526270.0898
"Missiles & Space","1427","GUIDED MISSILE SUBSYSTEMS",903667000,427956246,220719046,172780730,113436703,244846578,229370333,376718827,485624691,444326062,409215835,513824210,547617288,407690754,304963526,112799651,133026233,81907895.8203,367050783.3555,181554209.4648,455579678.83,356151004.9648,341664106.596,238241540.75,712296860.82,333480637.4838,468193147.9635,637218796.1646,514097740.3901,319580829.8534,330465987.461,184446282.3633,707216685.201,259726203.7262,11302515.5313
"Missiles & Space","1430","GUIDED MISSILE REMOTE CONT SYSTEMS",85530000,368191571,102639826,301671781,69892269,74142187,52701308,74681203,48100027,77881553,109879907,89659793,81062831,149333361,134684711,45487753,46508950.5938,50397201.3356,74828155.2309,95773310.8127,69882675.4373,67342241.3076,557575174.4301,229384325.61,232432159.02,95423746.9837,92821324.4029,25247861.1212,16887286.5394,42983871.5812,34747364.8726,250224954.498,12660726.5091,9744943.7389,955682.3045
"Missiles & Space","1440","LAUNCHERS, GUIDED MISSILE",752829000,476912836,703668923,397872680,362019226,667654236,362348994,268015683,546393438,369142747,298432901,196531099,333712135,263024105,412027338,255593233,733130774.8896,741462572.7458,951232848.8552,1275169952.2816,670738498.3109,507937123.522,296033323.5705,181583022.1001,778601967.38,806705621.2375,1044145480.311,212148186.4729,217156375.7154,291781654.3704,549543003.2962,675967335.6266,362286623.0686,2469430570.5284,61902502.1928
"Missiles & Space","1450","GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT",549844000,974142427,189688179,781334752,257766875,82343341,137327046,117918257,125606958,16338876,98435888,65152101,105596924,84041513,149771618,25839731,11888228,4364376.6412,4493957.7644,20788273.1254,15033977.2866,2717409.0918,137835858.1988,534777642.45,15716293.6596,27187584.5036,26527241.5611,27457044.1692,27019454.2977,6902034.015,11146987.3448,679417313.0621,396371016.658,82724372.4654,2112578.281
"Missiles & Space","4927","ROCKET MAINT & REP EQ",,,,,,,,,,,,,,,,-3693,,,,,,,,,,,,,,,,,,,
"Missiles & Space","4935","GUIDED MISSILE MAINT EQ",,,,,,35072,,711423,225950,222900,249760,191450,,,763665,,840616,1704197.9683,155369.8118,110366,537793.6377,58587.6001,26908,63175.9,62245,41679.8,,,,,27735,,,,
"Other","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",,,,,,,,,,,,,,,3261839,8088510,8534827,795007.96,331616.669,197081.8994,8845.9102,100618.5,111648.05,,81985.95,173464.22,120262.9609,,,,,,,,
"Other","3120","BEARINGS, PLAIN, UNMOUNTED",,,,,,,,,,,,,,,,62928,,35237,110532,139904,,,34080,,,,,,,,,,,,
"Other","3130","BEARINGS, MOUNTED",,,,,,,,,,,,,,,,,,,,,,27680,,,,,,,,,,,,,
"Other","3230","TOOLS - ATTACHS FOR WOODWORK MACH",,,,,,,,,,,,,,,,,,,,,0,0,11807.5996,,,,,,,,,,,,
"Other","3405","SAWS AND FILING MACHINES",,,,,,,,,,,,,,,,,,18800,,,,,,,,,,,,,,,,,
"Other","3408","MACHING CENTERS & WAY-TYPE MACHINES",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"Other","3419","MISCELLANEOUS MACHINE TOOLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134751,,
"Other","3439","MISC WELD SOLDER & BRAZING SUPPLY",,,,,,,,,,,,,,,2802,,,,,,,,,,,,,,,,,,,,
"Other","3449","MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES",,,,,,,,,,,,,,,8205,,,,,,,,,,,,,6159.7998,,,,,,,
"Other","3455","CUTTING TOOLS FOR MACHINE TOOLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Other","3465","PRODUCTION JIGS FIXTURES & TEMPLATE",,,,,,,,,,,,,,,,,37410,,,,,,,,,,,,,,,,,,
"Other","3540","WRAPPING AND PACKAGING MACHINERY",,,,,,,,,,,,,,,14580,,,,,,,,,,,,,,,,,,,,
"Other","3625","TEXTILE INDUSTRIES MACHINERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245483,,,,
"Other","3695","MISC SPECIAL INDUSTRY MACHINE",,,,,,,,,,,,,,,,,,,,,,22190.6406,,,,,,,,,,,,,
"Other","3820","MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",,,,,,,,,,,,,,,,115500,,,,,,,,,,,,,,,,,,,
"Other","3830","TRUCK AND TRACTOR ATTACHMENTS",,,,,,,,,,,,,,,,,,12499.96,,,,,,,56270.4,,,,,,,,,,
"Other","3920","MAT HANDLING EQ - NONSELF-PROPELLED",,,,,,,,,,,,,,,10900,,,,,,,,,,,,,,,,,,,,
"Other","3930","WAREHOUSE TRKS & TRACTORS SELF-PROP",,,,,,,,,,,,,,,,,,,,,,,,,,,55270,0,,,,,,,
"Other","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",,,,,,,,,,,,,,,,,,,,,,26255.25,,5850,0,,,16650,,,,,,,
"Other","3950","WINCHES HOISTS CRANES & DERRICKS",,,,,,,,,,,,,,,,-7900,4061,,,,,,,,,,,,,34582.6992,,,,,
"Other","3990","MISC MATERIALS HANDLING EQ",,,,,,,,,,,,,,,,,,148989,,,,,,,,,,,,,,,,,
"Other","4010","CHAIN AND WIRE ROPE",,,,,,,,,,,,,,,7430,,,,,,,,,,,4832.2202,,,,,,,,,
"Other","4030","FITTINGS FOR ROPE, CABLE, AND CHAIN",,,,,,,,,,,,,,,,,,,,41929.1992,-2000,37136.5489,53625,41264.58,85424.92,42766.8008,0,,105000,0,,,,,
"Other","4110","REFRIGERATION EQUIPMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,536195,0,,,,,,
"Other","4130","REFRIGERATION & AIR CONDITION COMP",,,,,,,,,,,,,,,,,,,,,,,,,714301.9,0,245250,,,,,,,,
"Other","4140","FANS AIR CIRCULATORS & BLOWER EQ",,,,,,,,,,,,,,,,1300366,433620,232152,,150965,74581,137734.7202,149407.4414,125729,1828406.74,94527,,96714,477826.5195,0,932500,,-6480,,
"Other","4210","FIRE FIGHTING EQUIPMENT",,,,,,,,,,,,,,,,1965775,1306344,1294188.9376,3612684.7813,64416.3204,,85282.3999,-1705.76,,,,,,,,,,,249995.7969,
"Other","4240","SAFETY AND RESCUE EQUIPMENT",,,,,,,,,,,,,,,,9196,,4071.75,,,,,,,,,,,6534,,,,,,
"Other","4310","COMPRESSORS AND VACUUM PUMPS",,,,,,,,,,,,,,,,,,,,,,521150,,537850,543090,,0,,136570,,,,,,
"Other","4320","POWER AND HAND PUMPS",,,,,,,,,,,,,,,362250,1067481,2078746,96520.2031,269902.1875,545291.9375,7250,-315590.0938,683894,68560.08,178327.08,123941.0078,181724.2773,-200,,,,,,164880,
"Other","4330","CENTRIFUGALS SEPARATORS & FILTERS",,,,,,,,,,,,,,,,1716067,,,,,,,,,,10280,0,16677.25,28950,,,,,,
"Other","4440","DRIERS DEHYDRATORS & ANHYDRATORS",,,,,,,,,,,,,,,,,,,,,,2017496,1418040,,,,,,,,,,,,
"Other","4520","SPACE AND WATER HEATING EQUIPMENT",,,,,,,,,,,,,,,,,,,,33305,,130375,-63875,0,,,,,,,,,,,
"Other","4530","FUEL BURNING EQUIPMENT UNITS",,,,,,,,,,,,,,,,,,,,,17160,,,,,,,,,,,,,,
"Other","4540","WASTE DISPOSAL EQUIPMENT",,,,,,,,,,,,,,,19152,,,,,,,,,,,,,,,,,,,,
"Other","4710","PIPE, TUBE AND RIGID TUBING",,,,,,,,,,,,,,,196705,,,,,2217.6001,,,,,,,,3614,,,,,,,
"Other","4720","HOSE AND FLEXIBLE TUBING",,,,,,,,,,,,,,,1349,9874,73685,19077.2393,35109,201012.5401,55309.3992,,4504.5,,2160.5,3096,96714.6484,27728.4004,294916.5469,,,0,,,
"Other","4730","FITTINGS - HOSE PIPE & TUBE",,,,,,,,,,,,,,,,16536,749,,,,9673.7297,,,,413811.1,39323,0,,280254,,0,,,,
"Other","4810","VALVES, POWERED",,,,,,,,,,,,,,,31343,142391,-250,874560,0,,-29152,,,,,,,327150,,,,,1694,,
"Other","4820","VALVES, NONPOWERED",,,,,,,,,,,,,,,1057523,671241,762462,812647.5391,50600,726350,-0.02,,,,,,,,,,,,,,
"Other","4940","MISC MAINT EQ",,,,,,,,,,,,,,,34585,1193674,295292,-60273,,,,29880,346072,-56958,299070,182438,635167,,,,,,,,
"Other","5120","HAND TOOLS, NONEDGED, NONPOWERED",,,,,,,,,,,,,,,61800,4600,,1521,32416,62429.0984,60790.5,,,25979.25,-750,,41510,0,,,,,,,
"Other","5130","HAND TOOLS, POWER DRIVEN",,,,,,,,,,,,,,,353005,1492751,3265224,4361825.25,410388.0313,2068739,,,1273551.125,13410,,,,,,,,,,,
"Other","5140","TOOL AND HARDWARE BOXES",,,,,,,,,,,,,,,,,4403,,,,,,,,,,,,,,,,,,
"Other","5180","SETS KITS & OUTFITS OF HAND TOOLS",,,,,,,,,,,,,,,61295,283183,,,,129781.6016,,,,,,26710,49960,,,,,,,,
"Other","5210","MEASURING TOOLS, CRAFTSMEN'S",,,,,,,,,,,,,,,,,,,,,,,,7523.35,,,,,,,,,,,
"Other","5220","GAGES & PRECISION LAYOUT TOOL",,,,,,,,,,,,,,,5835,16860,,,,,,,,,,,,,,,,,,,
"Other","5280","SETS, KITS & OUTFITS OF MEASURING T",,,,,,,,,,,,,,,,,,,,41431.1406,,,,,,,,,,,,,,,
"Other","5305","SCREWS",,,,,,,,,,,,,,,354115,107013,238885,109239.5,38859.5305,191091.29,298630,223125,,,,,,,,,,,,,
"Other","5310","NUTS AND WASHERS",,,,,,,,,,,,,,,-2946,3442,,3164.24,5341.1799,160908.7967,,,,,,,11038.6797,,,,,,,,
"Other","5315","NAILS, MACHINE KEYS, AND PINS",,,,,,,,,,,,,,,8768,4823,-8796,33964.3984,29397.6201,21066.96,,2982.28,,1866.25,,-1866.25,,,,,,,,,
"Other","5320","RIVETS",,,,,,,,,,,,,,,11113,8840,,,,,,,,,,,,,,,,,,830.88,
"Other","5325","FASTENING DEVICES",,,,,,,,,,,,,,,19865,38691,,-250.56,,,,,,,,,,,,,,,,,
"Other","5330","PACKING AND GASKET MATERIALS",,,,,,,,,,,,,,,,6275,,-79.71,2566.2,26621.1602,,,,,,,,,,,,,,,
"Other","5331","O-RING",,,,,,,,,,,,,,,34722,,,,,89.6,,,,,,,,,,,,,,,
"Other","5340","HARDWARE",57000,61000,,,,,,,,,,30368,32500,34164,476020,286934,285171,16302005.6126,3292966.8364,965447.8133,53733.2994,242276.5938,151266.8,11020,125160,127412.8301,549415.8198,312093.56,80420.4805,0,,,,,
"Other","5342","HARDWARE, WEAPON SYSTEM",,,,,,,,,,,,,,,9415,,,,,258384.5313,,0,,,,,3200,,46111,,,,,117649266.28,
"Other","5350","ABRASIVE MATERIALS",,,,,,,,,,,,,,,,5302,5302,,,,,,,,,,,,,,,,,,
"Other","5355","KNOBS AND POINTERS",,,,,,,,,,,,,,,,4914,400,61047.9696,,3770,,,,,,,,,,,,,,,
"Other","5360","COIL, FLAT, LEAF, AND WIRE SPRINGS",,,,,,,,,,,,,,,129990,323713,,,22887,215433.3526,2293.5,,,,,,,,,,,,,,
"Other","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",,,,,,,,,,,,,,,7384,206145,2822,576.72,518.4,8357.1699,0,,,39873.75,,,,22968,-360,,,,,,
"Other","5410","PREFABRICATED & PORTABLE BUILDINGS",,,,,,,,,,,,,,,,,,,,,,17553,,,10926.96,,,,,,,,,,
"Other","5640","WALLBOARD BLDG & THERMAL INSULATION",,,,,,,,,,,,,,,108225,180840,318449,40427.3086,86810.5895,177,,,,,,,14745.1201,-14745.1201,,,,,,,
"Other","5670","BUILDING COMPONENTS, PREFABRICATED",,,,,,,,,,,,,,,,163460,,,94950,92900,,,,,7537.5,249980,0,,,,,,,,
"Other","5680","MISC CONTRUCT MATERIALS",,,,,,,,,,,,,,,3447,,,,,,,,,,,,,,,,,,,,
"Other","6605","NAVIGATIONAL INSTRUMENTS",,,,,,,,,,,,,,,87320,,,,,570846,1159968,72200,136150,3531220,,-385650,0,37000,0,-119000,,,,,
"Other","6625","ELECT ELECTRONIC MEASURING INSTRUMT",,,,213004,216518,,,84132,,,,,,,-152101,22391,51302,47910.3199,65216.8554,792600.6094,154317.043,307991.4219,625139.3575,2606194,612845.3,622287.1,40912.75,109884.0938,-25121.9707,,166318.9063,405559,28076.4004,0,
"Other","6650","OPTICAL INSTRUMENTS",,,,,,,,,,,,,,,40414,28329,-9765,11166408.4761,-2179145.3897,2679052.5,2016883.125,,277586.4063,174500,0,,170550,,,,35588.0586,,,,
"Other","6670","SCALES AND BALANCES",,,,,,,,,,,,,,,,,,3992,,,,,62265,,,,,,,,,,,,
"Other","6675","DRAFTING SURVEYING & MAPPING INSTRU",,,,,,,,,,,,,,,,,,,,,,696850,7e+05,0,,,,,469680,,,,,,
"Other","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",,,,,,,,,,,,,,,40843,78522,,-300.15,,,,,,,,0,0,,608400,0,,,,,
"Other","6685","PRESSURE TEMP HUMIDITY INSTRUMENTS",,,,,,,,,,,,,,,9518,,,,,,,,,,,,,,,,,,,,
"Other","6695","COMBINATION & MISC INSTRUMENTS",1083000,1226000,-153461,,,,,,,,,,,,,,,,,,3596.3999,,0,,,,,,,,,,,,
"Other","6750","PHOTOGRAPHIC SUPPLIES",,,,,,,,,,,,,,,135401,60348,55807,,,,,,,,,,,,,,,,,,
"Other","6810","CHEMICALS",,,,,,,,,,,,,,,,,,20533.4395,25330.9992,35000,35525,60882,0,24205.5,,,,,,,,,,,
"Other","6830","GASES: COMPRESSED AND LIQUEFIED",,,,,,,,,,,,,,,89790,269370,,,,,,,,,,,,,,,,,,,
"Other","6910","TRAINING AIDS",,,,,,,,,,,,,,,91450,,13397102,,,7837877,0,-222755,0,0,,,,,341880,,,,,,
"Other","6920","ARMAMENT TRAINING DEVICES",,477000,4966983,135585,36987144,5962703,44774361,22474992,-557202,,,1680000,,,473155,18400,894873,-26080.6701,1303781.75,780747.9063,499984.8858,458476.629,0,,,,,,9942229,,,,,,
"Other","6930","OPERATION TRAINING DEVICES",,,,,,,,,,,,,,,,341997,,,,,,,,,,,,,,,,,,,
"Other","6940","COMMUNICATION TRAINING DEVICES",,,,,,,94258,,,,,,,,,,92748,,,,,,,,,,,,,,,,,,
"Other","7105","HOUSEHOLD FURNITURE",,,,,,,,,,,,,,,,4294,,,,,,,,,,,,,,,,,,,
"Other","7110","OFFICE FURNITURE",,,,,,,,,,,,,,,7727,1577,,,,,,,,,,,5691.3999,,,,,,,,
"Other","7125","CABINETS LOCKERS BINS & SHELVING",,,,,,,,,,,,,,,5088,92535,5712,331738,2250,461886.6407,120227.2969,281061.9063,334450.6875,,,,,,,,12081.3799,,17654.7793,,
"Other","7195","MISC FURNITURE & FIXTURES",,,,,,,,,,,,,,,129586,,,,,,,,45545,,,,,,,,,,,,
"Other","7230","DRAPERIES, AWNINGS, AND SHADES",,,,,,,,,,,,,,,,,,,,,,,,,,155603.2,,,,,,,,,
"Other","7490","MISCELLANEOUS OFFICE MACHINES",,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,,,,,,
"Other","7510","OFFICE SUPPLIES",,,,,,,,,,,,,,,,7709,,,,,,,,,,,,,,,,,,,
"Other","8010","PAINT,DOPE,VARNISH & RELATED PROD",,,,,,,,,,,,,,,250769,,,,,,,,,,,,,,,,,,,,
"Other","8030","PRESERVATIVE AND SEALING COMPOUNDS",,,,,,,,,,,,,,,55581,41555,,,,,,,,,,,,,,,,,,,
"Other","8040","ADHESIVES",,,,,,,,,,,,,,,,,,,,,4754.0801,,,,,,,,,,,,,,
"Other","8105","BAGS AND SACKS",,,,,,,,,,,,,,,,,,2080,1079,,3190.5601,,,,,,,,,,,,,,
"Other","8115","BOXES, CARTONS, AND CRATES",,,,,,,,,,,,,,,,,,,,,,,,,,,,682711.6407,1321343.0454,1037974.3,0,,,,
"Other","8120","COMMERCIAL AND INDUSTRIAL GAS CYLINDERS",,,,,,,,1273600,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other","8135","PACKAGING & PACKING BULK MATERIALS",,,,,,,,,,,,,,,-40431,706921,,21978,0,,,,,,,,,,,11680,,,,,
"Other","8145","SPECIAL SHIPPING & STORAGE CONTAIN",,878000,1230184,674815,1144849,3024605,2449070,,,,,,,,85670,34299,384070,,0,,,,,,74376,0,0,494428.1992,,-825,0,,,,
"Other","9320","RUBBER FABRICATED MATERIALS",,,,,,,,,,,,,,,,,,514.74,,,,,,,,,,,,,,,,,
"Other","9330","PLASTICS FABRICATED MATERIALS",,,,,,,,,,,,,,,13191,,,,2181804,193080,,,,,,,,,,,,,,,
"Other","9515","PLATE, SHEET, STRIP, FOIL, AND LEAF",,,,,,,,,,,,,,,,4649,,13650,,28752.9609,,,,,,56600,-4188.3999,,,,,,,,
"Other","9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",,,,,,,,,,,,,,,,,,3386.04,4030,,,,,,,,,,,,,,,,
"PAMS","B502","AIR QUALITY ANALYSES",,,,,,,,,,,,,,,,,112477.2969,574348.9931,863856.8917,912121.2919,-31989.4988,-185333.1739,-139555.7807,-0.83,,,,,,,,,,,0
"PAMS","B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY",,,,,,,,,,,,,,,,,,,,,,,,,,100438,955674,927796,710842,0,,,-2643.54,,
