"PlatformPortfolio","Project.Name","ProjectID","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Missile Defense",,137,,,,46450172,443636,250000,,-1841340,-41297082,-16937188,,87352,148268,1700000,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,150,62000,-485000,,,,,,2505306,50220,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,151,,,330777,108953,,1500000,,,5668500,,,127649,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,152,120215000,262845000,140874699,211588347,102821975,84164984,54940201,144296183,53402483,99684635,12376894,8885436,4536207,9550278,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,157,,,-51046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,162,,,,,,86025,80810,,,45274912,,7150805,-70378,500882,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,165,,,,,,,,,,,,,2418953,3578555,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,167,,,,,,,7e+06,4e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,426,2178000,883000,202183,,,,,,,,,0,7e+06,6788409,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,674,,,,,,,,,,,,,,,44692611,7235660,-625000,,,,,,,,,,,,,,,,,,
"Missile Defense",,831,26177000,-919000,96116863,21880203,134861024,11509563,2240372,47320329,183727,77412,30940,,-353073,8658408,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,833,850000,149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,847,,,,,,,4239000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,848,85661000,53470870,77767051,53810442,53301195,36551582,79166667,56833366,43509322,57235346,29487891,7895967,17386153,36609044,,,,,,,-350,-280523.2813,,,,,,,,,,,,,
"Missile Defense",,856,,,,,,,126878,,-95000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,863,61144000,449805000,144746762,234585062,274086446,164651157,108573406,136652094,50277847,150763570,15565217,37792065,4687525,25386308,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,866,,-1576000,119728,115426,,,,-377996,-920844,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,871,,,,,,,,6066621,2327861,2375027,4580133,2314662,132050,2053797,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,877,,,,,,,,26070804,1146222,22757178,1829982,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,879,,16241000,5e+05,3800000,8116373,,453036,614624,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,1037,,,,816146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,1079,,,,,,,,,,,,50800,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense",,1876,,,,,,,,,,,,,,,,,,-16405140,,317474,,,,,,,,,,,,,,,
"Missile Defense",,1916,530895000,1264875000,229795125,934218885,456429784,393096580,438803077,428671689,394110985,203670583,254161932,210183367,390049932,226206442,31731720,-4312883,5376735,210825,312441,-648511.9766,-12221543.69,-4041196,,-552997.72,-27254,,1244282.9375,,89637.0078,,,,,,
"Missile Defense",,2032,,,,,,,,,,,,,,,,,,,,,,,,,,3350622,2750328,7462082,31517099,2476811.0195,-305767,-108272.0391,,,
"Missile Defense",,,,,,,,,,,,,,,,,0,,0,0,33324554,214240978,311252858,311854691.043,630189639.125,36352850.84,4629089,3824230.88,4018641.5,-16500046.7813,-11766903.5,-16067543,-1400000,0,657175323,-36633986,760769
"Ordnance and Missiles","466",2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647743,311760,,,,,
"Ordnance and Missiles","AIM-9X",1842,,,,,,,,,,,,,,,464732101,10218362,58365107,201420782,176043145.5,226764639.3438,194109468.8908,127114949.9741,295542675.8204,279082373.86,341941786.03,39497646.8323,-4843146.8437,-113486.1094,-727329.1719,-2754776.3809,-1715185.5128,6472405.8125,0,462675,
"Ordnance and Missiles","AIM-9X BLOCK II",2042,,,,,,,,,,,,,,,,,,,,,,,,,,238452307.65,347271886.6563,271073507.1275,34361995.1301,896179696.8716,443856277.84,330921746,224061391.0101,771927304.1304,248899
"Ordnance and Missiles","AMRAAM",81,640528000,1176031000,789514959,918678654,661668979,490362751,454869735,358677136,257112780,246934580,227204986,265222633,371688688,188449669,186542528,255518619,348027385.2969,235005312.3621,584446944.0464,964723666.6323,750619203.3908,665539056.1739,657097142.959,626008193.05,244174115.14,1145311289.2346,876137237.5587,178742604.4728,1339375965.5562,254437890.6445,1014132781.6739,1377963869.0045,1189368825.4702,1309199571.7926,14410766.3008
"Ordnance and Missiles","GBU-53/B",2041,,,,,,,,,,,,,,,,,,,,,,,,,,6027671,5242857,9817647,10517660,21621559,-1826062,0,-55000,-8328.8604,
"Ordnance and Missiles","GMLRS",667,,,,,,,,,,,,,69354488,,7698750,169579393,167419060,306149822.6854,362758251.627,651835831.7774,2773765.1288,-8190264.2382,353053872.539,191653274.43,-6803874.97,92023294.6241,350207773.0199,495339070.4143,1333936322.3755,1835352827.6092,1853962304.2309,1692885664.7789,1267113243.3921,3498120913.8009,450382275.8664
"Ordnance and Missiles","HARM (AIR FORCE)",30,,,,,,,,,,,,,,,,,,5421866.1226,,,2567288.5556,1141885.4045,2285124.5,0,,-489153.1331,-35458.75,-30764.9609,0,,,,0,895686.3985,
"Ordnance and Missiles","JAVELIN",685,,,,,217604512,224466831,206132168,220906028,201668208,402742031,15607977,1155572,815350,383703,95047934,22114634,24765356,14844594.2363,21867280.7657,186113581.1992,484318189.4122,250323600.9108,650544030.4808,451733739.44,252136660.42,337120034.2957,244644480.7754,187409881.4798,421345998.8558,32901480.1619,24491995.7911,-1597624.9532,-4661.6702,438.12,6074.2598
"Ordnance and Missiles","TOW",1313,,,,,,,,,,,,,,,,,0,34170252.608,273541474.641,56770305.2,44172558.9219,38904851.1719,48110266.9219,46868462.28,32028020.31,26136732.7618,23786138.4704,22350763.6481,24130094.4013,6561997.8437,-758025.6426,-1050286.6836,7564333.1172,17108866.8126,
"Ordnance and Missiles",,12,,,,,,,,,,,,,,,,,,68470,83068,,,,,1227040,0,,,,,,,,,,
"Ordnance and Missiles",,28,,,,,,,,,,,,,,,0,,,23699065.8987,83925805.6602,62573219.0762,489818614.1412,162370253.8908,61254580.5694,46771258.2,191611649.78,89430424.19,46284866.1817,342143.2767,-203583.939,-4440095.8789,16399.6426,-763,,,
"Ordnance and Missiles",,29,,,,,,,,,,,,,,,,,,84613.6499,,1041732,2064905,309000,27202,0,,,,,,,,,,,
"Ordnance and Missiles",,31,,,,,,,,,,,,,,,,,17279758,32125,1377517.0591,333744.6875,70049314.4277,129614973,8995186.625,0,0,0,,,,0,,,,,
"Ordnance and Missiles",,34,,,,,,,,,,,,,,,,,,483464,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,35,,,,,,,,,,,,,,,,,,,993735,77439608,40669.5,,64344,29319.26,,-4411.2202,,,,,,,,,
"Ordnance and Missiles",,41,,,,,,,,,,,,,,,,,,341917.1875,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,42,,,,,,,,,,,,,,,,,,,,4152,,,,,,,,,,,,,,,
"Ordnance and Missiles",,43,,,,,,,,,,,,,,,,,,11734140,0,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,50,,,,,,,,,,,,,,,,,,120042,,,,,,170436.29,,,,,,,,,,,
"Ordnance and Missiles",,60,,,,,,,,,,,,,,,,,,,182866565,1743639,16288364,5999343,7339610,1183359.04,-222155.11,-4992476,0,0,-3428.5801,-837026.0827,-198719.5938,,,-21837.2305,
"Ordnance and Missiles",,61,,,,,,,,,,,,,,,,,,,,136886,142363.2031,76027.0781,111861.0781,28309.68,,,,,,,,,,,
"Ordnance and Missiles",,80,,,,,,,,,,,,,,,,6292367,,279821173,0,,,,217768.4844,0,,,,,,,,,,,
"Ordnance and Missiles",,139,29000,,247241,-79882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,140,,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,143,555000,977000,-2575001,-5223794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,147,2592000,71000,,-175475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,148,35301000,5434000,1838101,2937930,5982068,5816410,9267327,16305802,-51990,-1368087,,463389,94162,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,149,163306000,240799000,281151120,174618776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,154,349000,498000,329208,218669,41501,96554,877582,935567,1655787,115009,,9012058,632853,94474,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,158,,,,,461868,2913207,,207234,-376823,8070010,48995,159378354,99283232,52737744,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,159,,3724000,3577618,1010769,61926290,66303682,13921902,526074,43674783,27950949,,840966,1071178,3639117,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,161,,,,,,,,,,540000,,4126481,1434530,355,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,164,,,,,,,,79296088,464656,9273114,5096756,1599875,13180403,17169132,,,,,,,-6800,-11612,,,,,,,,,,,,,
"Ordnance and Missiles",,169,18768000,200212000,19998497,154713651,143228049,83343996,112509467,321995891,108963699,330482643,1381970,2526765,-84731,39660867,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,173,,,,,,,2512312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,175,,,,,,,,,,,,,4333976,2495054,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,177,,,,,,,,,4600000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,178,2972000,42612000,44338236,26856893,30321662,11549430,35659830,26310569,16001414,40604043,420777,32390753,142701885,12633025,,,,,,,-8388.2598,,,,,,,,,,,,,,
"Ordnance and Missiles",,304,,3215000,3343775,285097,90695,429085,106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,318,,,,,,,,,,,,,,196288,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,338,,,,,,,,,,,,,,380000,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,344,,,-31400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,345,,,,,7400928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,346,,195000,-133125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,348,,3019000,6850501,3099721,3667279,2014103,1091519,,94120,,,334365,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,349,,,,,,,,,,,,2244239,18041426,8588669,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,352,,,,,,,,,,,,,,1403801,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,354,,81000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,359,,,,,,,,188025,,676438,1e+05,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,360,,,,,,,,,,,,,1941408,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,361,,,,,,,371978,267519,106282,,307700,,114000,205125,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,363,,,,,,,,,,,4350000,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,369,,,,,,,,,2e+05,4256886,300638,17455293,32183219,18807377,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,371,,67000,860801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,375,,,1164715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,386,,-95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,387,,1079000,1118538,628139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,390,,-536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,392,,4581000,4653423,2966338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,393,,-350000,-7e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,395,,503000,416014,-3753840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,397,,2125000,168500,-416787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,398,,,,,32892,-26673,23513530,18379287,11788558,-962605,,,,,,,,,,,,-387.26,,,,,,,,,,,,,
"Ordnance and Missiles",,399,,,,,,,,,10961600,16711295,-21814074,-294117,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,405,,,,,,,,,,,,,4901,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,411,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,419,49000,,,-113350,-142675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,487,,,,,,,,,6129653,11861248,11500893,-60280,-125000,603000,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,506,560000,-120000,,-55184,-76300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,623,,,,,,,,,,,,,,,,,,,349092,0,,,117360,,0,,,,,,,,,,
"Ordnance and Missiles",,636,,,,,,,,,,,,,,,,,,,,,,,4007.05,,,,,,,,,,,,
"Ordnance and Missiles",,647,,,,,,,,,,,,,,,,,0,17887033,296575954.6895,70897298.7695,67808952,4837060.2187,0,139071,784216.74,-37926.7383,0,,,,,,,,
"Ordnance and Missiles",,657,,,,,,,,,,,,,,,1252895,,,,,,,,25000,,19878,,,,,,,,,,
"Ordnance and Missiles",,658,,,,,,,,,,,,,,,,,,0,0,,291961.5938,2494880.7813,4077230.75,2130738,1795326.6,1153217.6,-33425,,,,,,,,
"Ordnance and Missiles",,673,,,,,,,,,,,,,,,,,,,,,,,110150.23,,,,,,,,,,,,
"Ordnance and Missiles",,715,,,,71972,,,,,,,,,26156,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,784,,,,,,,260253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,821,75000,,,,21476083,75176997,4594863,,,,,,749100,807000,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,822,,69728000,340344633,168284532,94500646,302852514,111971957,94159595,422729349,183848596,16629348,25127766,177273408,23477637,,,,,,,,,,,,,,,0,,,,,,
"Ordnance and Missiles",,824,,,72192095,479323,30541,27292710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,827,,-13361000,,,12226760,18018033,3637315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,828,-539000,14791000,27041793,19758284,3182728,-88762,-580240,-87702,79100,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,829,425000,,,,-429877,22608270,50966515,2570878,,,,,,28159500,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,837,,,,,,,,,,,,,674590,,,,,,,,,,,-350,,,,,,,,,,,
"Ordnance and Missiles",,838,,-51000,-699871,,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,839,197207000,-2189000,7617993,7269269,3828703,9257969,792734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,841,93656000,302413000,309556200,304868766,163181660,198178391,209124709,400108519,454676888,318702402,295206985,231560635,91975233,21188923,,,,,,,-14728.8398,,,,,,,,,,,,,,
"Ordnance and Missiles",,842,9128000,2917000,485444,,164936,15661949,221034892,130389168,134694405,141611224,50138186,3902047,105966103,70860725,,,,,,-465373.3125,,-1072663,,,,,,,,,,,,,
"Ordnance and Missiles",,857,,1e+06,1e+06,12190616,9883121,1780375,-1e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,859,406751000,661790000,317063003,190652242,187770153,135960795,11893995,43213283,2286844,1380861,427296,74850320,52011544,1231084,,,,,,,-71.7,,,,,,,,,,,,,,
"Ordnance and Missiles",,862,,,,,530064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,864,,30863000,32721442,10903865,,,,,122290687,,1e+07,1044705,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,865,460779000,858801993,556422247,344613918,294534656,211843327,194823625,97810649,32217237,49473656,492975,-204204,-77653,385729,,,,,,,-7050.5898,,,,,,,,,,,,,,
"Ordnance and Missiles",,867,,327000,,350243,346775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,868,,,,,54037784,11371072,,,,,,,154714945,190056513,,,,,,-266244.0938,-299046.7344,-268898,0,,,,,,0,0,,,,,
"Ordnance and Missiles",,872,,,,,,,,,14434581,,,,8381625,61442,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,873,,,,,,,,,,,,,17977000,12315809,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,874,,,,,,,,,,,,,133998634,27492324,,,,,,-43701.8008,,,,,,,,,,,,,,,
"Ordnance and Missiles",,875,,,,,,,,,,2146000,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,876,,,,,,,,,,,,,,11858021,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,893,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,894,,15401000,,67086,,,,,,,,,11618768,1159240,346000,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,895,,3512000,,101420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,905,,869000,86387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,906,2558000,39260000,41562749,22853012,2277153,1574145,647398,,,145461,,,5821644,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,910,,59501000,18624843,28800120,2375362,4864486,0,-20688,,3433129,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,920,,2675000,9412000,7922023,6019253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,921,12386000,4501000,853063,2785112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,922,,,,85878690,15529383,47158930,49201563,-6741915,15669802,4211299,,2332542,1416097,18057104,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,923,-28000,5612000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,952,,,,,,,,,,,,,31000,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1028,,,,,,,,,,,,821858,0,393000,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1309,,,,,,,,,,,,,,,,,,-115812,6784,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1355,,,,,,,,,,,,,,,,,,,,,42.2,32285.2801,13556.5799,79851.46,79427.74,-11280,,,,,,,,,
"Ordnance and Missiles",,1360,,,,,,,,,,,,,,,,3887489,585000,58565919.5625,168836072.755,394302.9089,-54677.6211,-7120418.3053,0,-8501.76,0,8310252,7863440,,,1047885,-9976,,,,
"Ordnance and Missiles",,1361,,,,,,,,,,,,,,,,,159352022,173660942.2031,278272623.3398,210871132.9414,271123027.165,2140218.3418,-401575.375,-467129.69,-1819061.11,-293994.07,0,-104858.7578,,,,,,,
"Ordnance and Missiles",,1364,,,,,,,,,,,,,,,-380729,30900854,16557838,,8104934,1016666,13802882,735423,,,,,0,,,,,,,,
"Ordnance and Missiles",,1524,-350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1527,30000,,,,,,43050,,472500,,,,1044853,-41400,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1530,303593000,296465000,39034445,78045084,11886295,448362,6463266,31572478,9509356,3380833,,150000,363776,37739216,,,,,,,,-114980,,,,,,,,,,,,,
"Ordnance and Missiles",,1531,229000,-345000,1802329,135468,,1028990,,,,,-76821,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1532,36312000,58347000,43054471,21115985,25935356,16730847,49872757,33978184,45413105,1814583,488000,-1670812,-5148780,350280,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1536,787000,0,168504,1191614,946040,,,,,,,,,1759939,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1538,864958000,239749000,10935623,-18901191,2459676,-2701839,1158937,-4461404,-1842170,,27500,,-152380,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1545,,,-323697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1547,,57157000,82989993,40279621,16245612,23192483,3190186,5860266,3909267,123939250,-65776488,2e+05,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1549,,,389512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1552,,22777000,5283426,10051916,379405,4518195,3022968,7368061,529405,-199000,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1553,,,,,12581506,19017005,5077502,-15556747,-4110069,-2873739,-1754496,426234,453887,1581753,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1594,,,,654500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1595,,,,282959,,,,,343850,,,,,1310383,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1597,,,,215965,,15812013,3014177,10664249,3401281,371219,39481,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1808,,,,,,,,,,,,,,,35397741,125666409,73337449,-20486685.3984,-1950262.5235,-3004715.9395,50018373.6719,14734984.959,36204148.0898,191962895.17,889463.16,4950625.9922,-93807,40369,1297674.8321,300090,0,0,,,
"Ordnance and Missiles",,1824,,,,,,,,2800000,103550100,2286947,220802,,,-489321,28715184,107635601,171336694,-5365375.7031,1254506.1875,1411356,-760464.75,-753990,0,0,-203113,0,,0,,,,,,,
"Ordnance and Missiles",,1826,,,,,,,,,,,,,,,-190,,,,56757.9391,13436,,,,,,,,,,,,,,,
"Ordnance and Missiles",,1913,63871000,79113000,76188081,26437179,48795069,66839509,38588385,1490250,4178591,30530282,11717253,20007463,25825951,12750752,,,,,,,-6000,,,,,,,,,,,,,,
"Ordnance and Missiles",,1914,,,,,,,,,,,39204700,125043465,30650023,36056492,55766926,29150698,27963599,-1950785,768294,-99419.5938,-635416.9375,-1035087.1806,-331294.9727,234326.96,-121659.73,,45377.9219,26651.1602,0,,,,,,
"Ordnance and Missiles",,1915,,,,,,,,,,,,,19013378,101896522,257539970,157649702,25835485,12687647,182750,-10193.9303,-37883.2993,-405480.5322,-104493.9297,-130872.26,-95000.97,-149732.1563,-5848.4302,,0,0,,,,,
"Ordnance and Missiles",,1918,513997000,1382114628,1722670549,1484627283,1316455964,857976907,861233770,583790498,825643426,806857872,774261874,124057438,52139768,664016726,9327646,4793246,-3628961,,,-720650.2715,-233491.875,,537268.94,-244889.16,-2375066.66,-182957,0,-1563109.2032,-544917,-3758596.1719,0,0,,,
"Ordnance and Missiles",,1961,,,,,,,,,,,,,,,,,,,,24536,36000,134294,,,,,,,,,,,,,
"Ordnance and Missiles",,1994,,,,,,,,,,,,,,,,,,,,161340,,,,,,,,,,,,,,,
"Ordnance and Missiles",,2070,,,,,,,,,,,,,1332086,89964,49940,1663562,,,-158491.9375,-25000,,,,-57723.14,,,-822.24,,,,,,,,
"Ordnance and Missiles",,2080,,,,,,,,,,,340077,169286,80000,269356,34434,,,,,,,3229,0,,,,,,,,,,,,
"Ordnance and Missiles",,,3013395000,976903246,1119000466,804057275,479329709,534348462,860481348,771047811,725513470,1117829220,2147827793,2104252715,2693610882.2734,3152402151.1309,4067923971.125,3233211963.5313,3109427700.0069,3094406658.1166,3967575433.9835,3326191702.7866,3079684705.1214,2989053819.6004,2826809492.9361,3018724548.8776,2757340269.6395,3403526595.4213,3765261739.508,5643720360.2562,5985883321.5548,6426987807.6709,9221140268.4207,6534982164.0227,5824213576.4632,13113009606.6874,768935605.9627
"Other Products",,717,,,,,,159137,,59303,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other R&D and Knowledge Based","AIM-9X BLOCK II",2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9927676,51705694,41442835.8086,1556220
"Ships & Submarines",,6,,,,,,,,,,,,,,,,,,1914183.875,,,,830907,0,0,-4881,,,,,,,,,,
"Ships & Submarines",,76,,,,,,,,,,,,,,,40779050,87136265,106227722,60341116,69385937,19494627.5391,993766.2898,1286991.7891,-205866.4629,-71019.91,-114739.3,-164483.33,,,,,,,,,
"Ships & Submarines",,86,,,,,,,,,,,,,,,,,106932200,,12708461,146310870,127440807,132329716,55539463,-16399245,46766108.61,587465,-728060.625,0,-39535.2695,-979216.3125,-1219736.75,,,,
"Ships & Submarines",,634,,,,,,,,,,,,,,,9086718,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,830,,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,843,463000,,,277089,10250181,-3324579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1203,,,,,,,8013468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1211,,,41878,29902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1213,85000,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1215,,,,,68476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1251,,,,,,,,,,,,,79040,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1267,,,,,,,,,,,,,129851896,,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1304,,,,,,,,,,,,,,25918,,,,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,1336,,,,,,,,,,,,,,,594702,437000,108000,,,,,,,,,,,,,,,,,,
"Ships & Submarines",,,5900000,16815000,20089131,13258778,12332244,7234588,5393070,13112202,9283025,42260150,33731624,29437517,14063356,16338872,12842715,19341142,2877618.2397,5386479.3338,6567968.3629,4531407.1566,8472815.9652,3309181.525,75162792.9842,89706338.87,32356580.16,4933256.9772,14736282.1916,11953524.2048,3080978.3107,7611048.9948,9646497.18,8930862.4112,2335199.7427,-313876.4742,0
"Space Systems","AIM-9X BLOCK II",2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10110000,,,,
"Space Systems",,650,,,,,,,,,,,,,,,,,,1122794,0,,,,,,,,,,,,,,,,
"Space Systems",,1543,,,,,,,3965977,8819295,3105477,662960,,,,,,,,,,,,,,,,,,,,,,,,,
