"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BMDS",1357,,,,,19712653,64801277,75154192,51965181,28427392,20047800.6874,12694257,-161855.1602,-214481.3899,,54848,,,70000,773936.0626,721167.3027,821280.672,2489314.0381,4821245.9248,3755638.8681
"BMTC",69,,,,,,,,,,,,8336,,,,,,,,,,,,
"BQM-34 FIREBEE",834,403740,2712798,239913,338101,,,,,,,,,,,,,,,,,,,,
"BRAC ACTIVITIES",2014,,,458444,372120,37387464,22009036,45448227,50445322.2578,78178117.4063,100178233.128,89246098.7295,113011846.9821,62367195.2786,111888350.34,91489330.68,44439177.0956,35021713.5421,9987340,8133452.9942,9656301.9511,4630924.1094,26330815.334,9445452.539,11383273.9063
"BRADLEY FVS",27,,,,,,,,,619953.0625,,,,,,,,,,,,,,,
"BSJ",2064,117807518,200260144,146413757,151010862,186339,-2836134,-6260721,,0,,,,,,,,,,,,,,,
"BSM",1972,,,,,,8972,84603,,0,110040.9766,,,,9910.82,69687.27,5283.2402,,,,,,,,
"BSM ENERGY",1962,,,,,2489132,,,6742,,,,5321688,247212,,,,,,,,,,,
"BSR",2065,,436000,59091212,18133560,-281000,249250,,,,,,,-255640.4199,,,,,,,,,,,
"BTD",2066,,,100417927,151391839,-61614,-9243879,-19547068,,,,,,,,,,,,,,,,,
"C-10",1426,323307,481468,674843,1265944,,,,,,,,,,,,,,,,,,,,
"C-117 SKYTRAIN",1412,,,,312072,,,,,,,,,,,,,,,,,,,,
"C-121 CONSTELLATION",1409,,84600,,171376,,,,,,,,,,,,,,,,,,,,
"C-124 GLOBEMASTER",1415,,1518120,74872,,,,,,,,,,,,,,,,,,,,,
"C-12A (CX-X)",1427,7321768,-2259810,,,,,,,,,,,,,,,,,,,,,,
"C-130 AMP",702,,,,,30980598,2082629,16601046,1220228.0391,67944236.6231,6641548.961,104277953.4853,127426879.6653,21085089.2751,-1789645.8301,1787018.7223,0,,,,-4446,,,,
