ProductOrServiceCode,ProductOrServiceCodeText,ProductServiceOrRnDarea, Action_Obligation_OMB25_GDP23 ,SpaceArea
D304,ADP SVCS/TELECOMM & TRANSMISSION,ICT,,Other Services
D306,ADP SYSTEMS ANALYSIS SERVICES,ICT,"1,430,372",Other Services
D307,AUTOMATED INFORMATION SYSTEM SVCS,ICT,"8,512,494",Other Services
D308,IT AND TELECOM- PROGRAMMING,ICT,,Other Services
D313,COMPUTER AIDED DESGN/MFG SVCS,ICT,,Other Services
D314,ADP ACQUISITION SUP SVCS,ICT,,Other Services
D316,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,ICT,,Other Services
D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",ICT,,Other Services
D320,IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS,ICT,,Other Services
D322,IT AND TELECOM- INTERNET,ICT,,Other Services
D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ICT,"-14,548",Other Services
DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",ICT,"2,291,540",Other Services
DG01,IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR),ICT,"480,156",Other Services
DG10,IT AND TELECOM - NETWORK AS A SERVICE,ICT,"18,134,393",Other Services
DG11,IT AND TELECOM - NETWORK - TELECOM ACCESS SERVICES,ICT,"658,181",Other Services
F109,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,FRS&C,,Other Services
G002,CHAPLAIN SERVICES,MED,,Other Services
H118,QUALITY CONT SV/SPACE VEHICLES,PAMS,"977,174,291",Space Vehicle Services
H218,EQ TEST SVCS/SPACE VEHICLES,PAMS,"78,921,562",Space Vehicle Services
H249,EQ TEST SVCS/MAINT REPAIR SHOP EQ,PAMS,"97,090",Other Services
H258,EQ TEST SVCS/COMMUNICATION EQUIP,ICT,,Other Services
H318,INSPECT SVCS/SPACE VEHICLES,PAMS,,Space Vehicle Services
H918,OTHER QC SVCS/SPACE VEHICLES,PAMS,,Space Vehicle Services
H958,OTHER QC SVCS/COMMUNICATION EQ,ICT,,Other Services
J010,MAINT-REP OF WEAPONS,ERS,,Other Services
J014,MAINT-REP OF GUIDED MISSILES,ERS,,Other Services
J016,MAINT-REP OF AIRCRAFT COMPONENTS,ERS,,Other Services
J018,MAINT-REP OF SPACE VEHICLES,ERS,"3,490,337,106",Space Vehicle Services
J019,MAINT-REP OF SHIPS-SML CRAFT-DOCKS,ERS,,Other Services
J039,MAINT-REP OF MATERIALS HANDLING EQ,ERS,,Other Services
J055,MAINT-REP OF LUMBER & MILLWORK,ERS,,Other Services
J058,MAINT-REP OF COMMUNICATION EQ,ICT,,Other Services
J059,MAINT-REP OF ELECT-ELCT EQ,ERS,"79,854",Other Services
J066,MAINT-REP OF INSTRUMENTS & LAB EQ,ERS,"681,756",Other Services
J070,MAINT-REP OF ADP EQ & SUPPLIES,ICT,,Other Services
J087,MAINT-REP OF AGRICULTURAL SUPPLIES,ERS,,Other Services
J099,MAINT-REP OF MISC EQ,ERS,,Other Services
J998,NON-NUCLEAR SHIP REPAIR (EAST),ERS,,Other Services
K018,MOD OF SPACE VEHICLES,ERS,,Space Vehicle Services
K052,MOD OF MEASURING TOOLS,ERS,,Other Services
K058,MOD OF COMMUNICATION EQ,ICT,,Other Services
K059,MOD OF ELECT-ELCT EQ,ERS,,Other Services
K099,MOD OF MISC EQ,ERS,,Other Services
L016,TECH REP SVCS/AIRCRAFT COMPONENTS,PAMS,"750,433",Other Services
L017,TECH REP SVCS/AIRCRAFT GROUND EQ,PAMS,,Other Services
L018,TECH REP SVCS/SPACE VEHICLES,PAMS,,Space Vehicle Services
L058,TECH REP SVCS/COMMUNICATION EQ,ICT,,Other Services
L059,TECH REP SVCS/ELECT-ELCT EQ,PAMS,,Other Services
L099,TECH REP SVCS /MISC EQ,PAMS,,Other Services
M127,OPER OF GOVT ELCT & COMM SYS FAC,FRS&C,,Other Services
M199,OPER OF GOVT MISC BLDGS,FRS&C,,Other Services
N018,INSTALL OF SPACE VEHICLES,ERS,,Space Vehicle Services
N035,INSTALL OF SERVICE & TRADE EQ,ERS,,Other Services
N059,INSTALL OF ELECT-ELCT EQ,ERS,,Other Services
N063,INSTALL OF ALARM & SIGNAL SYSTEM,ERS,"343,076",Other Services
N087,INSTALL OF AGRICULTURAL SUPPLIES,ERS,,Other Services
N099,INSTALL OF MISC EQ,ERS,,Other Services
Q301,LABORATORY TESTING SERVICES,MED,,Other Services
R406,POLICY REVIEW/DEVELOPMENT SERVICES,PAMS,,Other Services
R407,PROGRAM EVALUATION SERVICES,PAMS,"63,711",Other Services
R408,PROGRAM MANAGEMENT/SUPPORT SERVICES,PAMS,,Other Services
R409,PROGRAM REVIEW/DEVELOPMENT SERVICES,PAMS,,Other Services
R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,PAMS,"174,512",Other Services
R414,SYSTEMS ENGINEERING SERVICES,PAMS,"8,636,602",Other Services
R415,PROF SVCS/TECH SHARING-UTIL,ICT,,Other Services
R421,TECHNICAL ASSISTANCE,PAMS,,Other Services
R425,ENGINEERING AND TECHNICAL SERVICES,PAMS,"174,782,426",Other Services
R426,COMMUNICATIONS SERVICES,PAMS,"899,616",Other Services
R499,OTHER PROFESSIONAL SERVICES,PAMS,"5,812",Other Services
R699,OTHER ADMINISTRATIVE SUPPORT SVCS,PAMS,"14,118",Other Services
R701,ADVERTISING SERVICES,PAMS,"91,974",Other Services
R703,ACCOUNTING SERVICES,PAMS,,Other Services
R706,LOGISTICS SUPPORT SERVICES,PAMS,,Other Services
R707,MGT SVCS/CONTRACT & PROCUREMENT SUP,PAMS,"29,095",Other Services
R710,FINANCIAL SERVICES,PAMS,,Other Services
R799,OTHER MANAGEMENT SUPPORT SERVICES,PAMS,,Other Services
S113,TELEPHONE AND-OR COMMUNICATIONS SER,ICT,,Other Services
S215,HOUSEKEEPING- WAREHOUSING/STORAGE,FRS&C,,Other Services
T006,FILM/VIDEO TAPE PRODUCTION SERVICES,PAMS,,Other Services
T013,PHOTO/MAP/PRINT/PUBLICATION- TECHNICAL WRITING,PAMS,,Other Services
T099,OTHER PHOTO MAPPING PRINTING SVC,PAMS,,Other Services
U006,EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,PAMS,,Other Services
U099,EDUCATION/TRAINING- OTHER,PAMS,"33,455",Other Services
V124,MARINE CHARTER FOR THINGS,ERS,,Other Services
V126,SPACE TRANSP & LAUNCH,ERS,"41,675,972,517",Space Transp. and Launch
V212,MOTOR PASSENGER SERVICES,PAMS,,Other Services
V214,MARINE PASSENGER SERVICE,PAMS,,Other Services
W018,LEASE OR RENTAL OF EQUIPMENT- SPACE VEHICLES,ERS,,Space Vehicle Services
W038,"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",ERS,,Other Services
W039,LEASE OR RENTAL OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT,ERS,,Other Services
W058,"LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",ICT,,Other Services
W066,LEASE OR RENTAL OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,ERS,,Other Services
W070,LEASE OR RENTAL OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,ICT,,Other Services
Y119,CONSTRUCT/OTHER ADMIN & SVCS BLDGS,FRS&C,,Other Services
Y127,CONSTRUCT/ELCT & COMM SYSTEM FAC,FRS&C,,Other Services
Y161,CONSTRUCT/FAMILY HOUSING,FRS&C,,Other Services
Y199,CONSTRUCT/MISC BLDGS,FRS&C,,Other Services
Y216,CONSTRUCTION OF DREDGING,FRS&C,,Other Services
Y299,CONTRUCT/ALL OTHER NON-BLDG FACS,FRS&C,,Other Services
Z126,MAINT-REP-ALT/MISSILE SYSTEMS FAC,FRS&C,,Other Services
Z199,MAINT-REP-ALT/MISC BLDGS,FRS&C,,Other Services
Z219,MAINT-REP-ALT/OTHER CONSV STRUCTURE,FRS&C,,Other Services
Z223,MAINT-REP-ALT/TUNNELS-SUBSURF STRUC,FRS&C,,Other Services
Z299,"MAINT, REP/ALTER/ALL OTHER",FRS&C,,Other Services
Z2BF,REPAIR OR ALTERATION OF MISSILE SYSTEM FACILITIES,FRS&C,,Other Services
Z2BG,REPAIR OR ALTERATION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,FRS&C,,Other Services
Z300,"MAINT, REP-ALT/RESTORATION",FRS&C,,Other Services
