"CalendarYear","exclude","NAICS_Code","naics_text","def4_mismatch","def_obl","US_rcp","def_ratio","OPTAX.display-label","US_pay","US_emp","us_avg_sal","def_cont_count","us_estab","def_hh_index","def_top4","def_top8","def_top12","def_top20","def_top50"
2012,"No","2383","Building Finishing Contractors","Uncollated at NAICS 4-5",254035798.7608,90042556000,0.00282128595684023,NA,24816628000,"666977",37207.6218520279,978,NA,317.830727157933,0.313877352602652,0.407749878615224,0.464837235863897,0.548316227135688,0.713506751406676
2012,"No","2389","Other Specialty Trade Contractors","Uncollated at NAICS 4-5",1182717389.1975,102099087000,0.0115840153320617,NA,23666753000,"552815",42811.343758762,1481,NA,1739.92577822593,0.499688277176383,0.559080350759969,0.597675971630266,0.651913215202735,0.765875703372669
2012,"No","3111","Animal food manufacturing",NA,400899.779,57905651000,6.92332737956784e-06,"Total",2219970000,"44873",49472.2884585385,9,"1690",2447.41036997549,0.858085777343369,1,1,1,1
2012,"No","3112","Grain and oilseed milling",NA,1123963.08,101456328000,1.10782944953419e-05,"Total",2959378000,"52765",56086.0039799109,3,"807",8595.74081336615,1,1,1,1,1
2012,"No","3113","Sugar and confectionery product manufacturing",NA,1247755.5478,33086098000,3.77123814298078e-05,"Total",3014769000,"69716",43243.57392851,6,"1856",5369.59777291504,0.950516116631287,1,1,1,1
2012,"No","3114","Fruit and vegetable preserving and specialty food manufacturing",NA,231589006.9018,69924527000,0.00331198531956891,"Total",6544613000,"166050",39413.5079795242,14,"1704",2969.5242080239,0.947235686572198,0.998912497298256,0.999998858106421,1,1
2012,"No","3115","Dairy product manufacturing",NA,3671343.8728,107425876000,3.41756009771798e-05,"Total",6448129000,"130980",49229.8747900443,8,"1597",6725.75479004373,0.9795311300157,1,1,1,1
2012,"No","3116","Animal slaughtering and processing",NA,6268040.6501,199563443000,3.14087618246795e-05,"Total",15457953000,"487070",31736.614860287,4,"3597",9552.07324964779,1,1,1,1,1
2012,"No","3117","Seafood product preparation and packaging",NA,569119.1005,10758078000,5.29015592283306e-05,"Total",1260804000,"32876",38350.2859228617,4,"597",3872.84029999248,1,1,1,1,1
2012,"No","3118","Bakeries and tortilla manufacturing",NA,306192954.0594,64626292000,0.00473790069929124,"Total",9486458000,"258343",36720.3988495914,61,"10552",2902.02063889087,0.864207239846107,0.980698639351598,0.994489136120772,0.999120043307895,1
2012,"No","3119","Other food manufacturing",NA,155759002.3032,94526151000,0.0016477874181421,"Total",7264535000,"159295",45604.2876424244,72,"3219",1101.84246036888,0.569014471918034,0.814619954090174,0.944745356025667,0.990205497198586,0.999567470583669
2012,"No","3121","Beverage manufacturing",NA,24892843.4097,102051343000,0.000243924701801328,"Total",6680215000,"134205",49776.2005886517,160,"4958",1150.22258777766,0.534803281174879,0.68816461561648,0.776649110747843,0.877267950888716,0.964492300460211
2012,"No","3122","Tobacco manufacturing",NA,78290.3974,40183568000,1.94831871077252e-06,"Total",912333000,"14127",64580.8027181992,1,"114",10000,1,1,1,1,1
2012,"No","3131","Fiber, yarn, and thread mills",NA,470056.8181,7736894000,6.07552356410725e-05,"Total",783820000,"24464",32039.7318508829,15,"316",3348.39703576991,0.928602896833939,0.985046038216998,1,1,1
2012,"No","3132","Fabric mills",NA,14682017.5466,14979980000,0.000980109288971013,"Total",2000350000,"49352",40532.2985897228,144,"961",1998.64022727798,0.718986102862597,0.79471722549838,0.834096925318423,0.885210385906848,0.962711516664509
2012,"No","3133","Textile and fabric finishing and fabric coating mills",NA,66071939.7293,7499331000,0.00881037784961085,"Total",1163341000,"29645",39242.4017540901,184,"1052",1882.42970491805,0.76897745061612,0.858617509763039,0.886680523972328,0.919820321804038,0.969889661552103
2012,"No","3141","Textile furnishings mills",NA,13253339.7889,12769076000,0.00103792473229073,"Total",1744270000,"51639",33778.1521718081,172,"1982",397.895624376035,0.303625666687118,0.514714500756751,0.608520639149766,0.707889068075978,0.879968772900876
2012,"No","3149","Other textile product mills",NA,361170168.0477,9330819000,0.0387072311709937,"Total",1968697000,"61332",32099.018456923,845,"4269",743.855375721988,0.490666340745917,0.629033059776852,0.691966778581867,0.757619044535489,0.867255584931513
2012,"No","3151","Apparel knitting mills",NA,15879653.6875,1760410000,0.00902042915428792,"Total",363607000,"12495",29100.200080032,31,"273",1792.11156668448,0.783425354391632,0.932137406863367,0.977812318376448,0.996571483033137,1
2012,"No","3152","Cut and sew apparel manufacturing",NA,1054201994.8814,9393724000,0.112224075870379,"Total",2174794000,"83810",25949.0991528457,602,"5550",467.910508528943,0.326605080389969,0.417169723396686,0.494543504279136,0.610773051875674,0.849190657732371
2012,"No","3159","Apparel accessories and other apparel manufacturing",NA,838595145.7862,1110512000,0.755142804207609,"Total",232348000,"8152",28501.9627085378,603,"541",609.165762542736,0.409446299045093,0.641076043710559,0.722602284324231,0.803112773948377,0.91677980110817
2012,"No","3161","Leather and hide tanning and finishing",NA,48667.1298,1537510000,3.16532118815487e-05,"Total",133428000,"3510",38013.6752136752,7,"198",3039.91472157586,0.881542841673807,1,1,1,1
2012,"No","3162","Footwear manufacturing",NA,111437285.1512,2022737000,0.055092325473455,"Total",374773000,"11450",32731.2663755459,113,"217",1085.20024969743,0.57122432799406,0.82799244933382,0.943622505728957,0.980743178684441,0.995708851520281
2012,"No","3169","Other leather and allied product manufacturing",NA,18280974.1543,1426129000,0.0128185978647794,"Total",322195000,"11192",28787.9735525375,153,"702",512.915011359859,0.344120620264864,0.572158345402752,0.705075137997492,0.830283602404901,0.938895524357263
2012,"No","3211","Sawmills and wood preservation",NA,2810843.8002,23070826000,0.000121835421072483,"Total",2996972000,"72804",41164.9359925279,44,"3349",2032.13731328639,0.707982587549813,0.834284080415348,0.896489194188715,0.957140110352212,1
2012,"No","3212","Veneer, plywood, and engineered wood product manufacturing",NA,20616923.0691,17105778000,0.00120526076446801,"Total",2542274000,"60687",41891.5748018521,67,"1437",1726.87555292839,0.704496882969648,0.907420548754362,0.944493791653721,0.974135024289947,0.998635966612436
2012,"No","3219","Other wood product manufacturing",NA,86404607.7366,37662357000,0.00229419013092038,"Total",6906429000,"203149",33996.8643704867,362,"8793",2214.0232988016,0.699166684897784,0.759133693926267,0.800240148477841,0.846351466133473,0.914891663707392
2012,"No","3221","Pulp, paper, and paperboard mills",NA,5479359.0103,81173301000,6.75019857859421e-05,"Total",7651884000,"106428",71897.2826699741,68,"371",2144.00476696704,0.654315131598524,0.80195775123328,0.87229150362577,0.932523377204343,0.996192394062739
2012,"No","3222","Converted paper product manufacturing",NA,63649905.4708,99437065000,0.000640102415239227,"Total",12258185000,"243758",50288.3392545065,466,"4054",1038.56986358707,0.491067349290712,0.627121648566932,0.709263402472017,0.785488371722247,0.884635620582816
2012,"No","3231","Printing and related support activities",NA,27742154.6402,82453090000,0.000336459854205585,"Total",19967837000,"462117",43209.4837454584,502,"27561",455.385198437098,0.317315006838051,0.431078536268205,0.524921369036043,0.635884581274495,0.813100454311442
2012,"No","3241","Petroleum and coal products manufacturing",NA,16317125808.261,851135772000,0.0191710022596266,"Total",9371940000,"101209",92599.8676007075,627,"2193",581.232614222306,0.411861951834478,0.57676739183671,0.689682968888628,0.835222685956286,0.967324436961438
2012,"No","3251","Basic chemical manufacturing",NA,101182960.2089,275975146000,0.00036663794430568,"Total",11814459000,"148270",79682.0597558508,487,"2482",435.807489777873,0.368791683238621,0.495893203321557,0.576384101220848,0.665543554825758,0.835771489151385
2012,"No","3252","Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",NA,10327818.9598,109511724000,9.43078839650082e-05,"Total",5939336000,"87103",68187.5021526239,221,"1415",688.56829179252,0.410150251274041,0.536140416665237,0.605574608548939,0.701078466863999,0.869619946652718
2012,"No","3253","Pesticide, fertilizer, and other agricultural chemical manufacturing",NA,4704370.0124,41460770000,0.000113465572694381,"Total",1982136000,"30601",64773.5694911931,53,"925",3763.36538652089,0.833278163138105,0.895084863324529,0.922218051167881,0.954868472097696,1
2012,"No","3254","Pharmaceutical and medicine manufacturing",NA,396923471.7121,189036465000,0.00209971907648665,"Total",20357697000,"243270",83683.5491429276,370,"2150",2092.15268256367,0.61703882786757,0.737104255099909,0.813979143311526,0.867023853160342,0.943353844898283
2012,"No","3255","Paint, coating, and adhesive manufacturing",NA,32126854.0836,36181568000,0.000887934267624886,"Total",3239437000,"53650",60380.9319664492,363,"1705",1756.92905835589,0.563575260937684,0.711705939272189,0.786716049192178,0.838922017017221,0.913528932551326
