"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate"
"75893",2007,"016976730","PDuns-1","S","Always Small Vendor",NA,1,1,0,83642.9805,83642.9805,0,103943.060146639,2,2007,2020,9,2007,2018
"450762",2007,"621439363","PDuns-1","S","Always Small Vendor",NA,1,1,0,19980,19980,0,24829.1288679011,1,2007,2011,5,2006,NA
"82327",2007,"029884913","PDuns-1","S","Always Small Vendor",NA,1,1,0,26404.8,26404.8,0,32813.2223188766,4,2007,2012,4,2005,NA
"269984",2007,"138783977","PDuns-1","S","Always Small Vendor",NA,1,1,0,14475,14475,0,17988.0700882316,3,2007,2007,1,2006,NA
"418113",2007,"606310050","PDuns-1","S","Always Small Vendor",NA,1,1,0,8554,8554,0,10630.0484652666,1,2007,2010,2,2007,NA
"477874",2007,"534581835","PDuns-1","M","Medium Vendor",NA,1,1,1,221529,NA,NA,275293.89834721,25,2007,2018,7,2007,NA
"63624",2007,"052259892","PDuns-1","S","Always Small Vendor",NA,1,1,0,11250,11250,0,13980.3653535479,1,2007,2007,1,2006,NA
"66472",2007,"028652902","PDuns-1","M","Medium Vendor",NA,1,1,0,9755,NA,NA,12122.5301354542,1,2007,2009,2,2007,NA
"566386",2007,"881716658","PDuns-1","M","Medium Vendor",NA,1,1,1,90392,NA,NA,112330.060892258,3,2007,2009,2,2007,NA
"309967",2007,"190615489","PDuns-1","S","Always Small Vendor",NA,1,1,0,73167,73167,0,90924.568162048,3,2007,2008,2,2007,NA
"361015",2007,"160152476","PDuns-1","S","Always Small Vendor",NA,1,NA,NA,0,0,0,0,0,2007,2008,2,2004,NA
"298882",2007,"140647681","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,37724.7799,37355.7099,0,46880.5516341494,9,2007,2019,6,2005,2010
"202678",2007,"111137183","PDuns-1","S","Always Small Vendor",NA,1,1,0,18258.75,18258.75,0,22690.1329688083,2,2007,2007,1,2006,NA
"50813",2007,"027541754","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,50565,40365,0,62837.0821424133,3,2007,2020,10,2007,NA
"175195",2007,"068763499","PDuns-1","S","Always Small Vendor",NA,1,1,0,17004,17004,0,21130.8562197092,3,2007,2013,2,2002,NA
"509521",2007,"791195766","PDuns-1","N","Sometimes Small Vendor",NA,1,1,1,32160,20960,0,39965.2044240089,3,2007,2011,5,2007,NA
"393341",2007,"198663754","PDuns-1","S","Always Small Vendor",NA,1,1,0,92489,92489,0,114936.000994159,3,2007,2011,4,2007,2008
"204499",2007,"111255295","PDuns-1","S","Always Small Vendor",NA,1,1,0,24682,24682,0,30672.3002361128,5,2007,2014,2,2005,2011
"561229",2007,"788240591","PDuns-1","M","Medium Vendor",NA,1,1,0,3911060,NA,NA,4860270.90841307,2,2007,2011,5,2007,NA
"317880",2007,"169170359","PDuns-1","S","Always Small Vendor",NA,1,NA,NA,250000,250000,0,310674.785634398,0,2007,2011,2,2006,NA
"419899",2007,"430201400","PDuns-1","M","Medium Vendor",NA,1,1,1,57004,NA,NA,70838.8219212129,1,2007,2007,1,2007,NA
"420286",2007,"618619543","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,5940,5940,0,7381.6329066733,1,2007,2008,2,2007,NA
"540026",2007,"802274543","PDuns-1","S","Always Small Vendor",NA,1,1,0,24984,24984,0,31047.5953771592,1,2007,2008,2,2007,NA
"441467",2007,"620867122","PDuns-1","S","Always Small Vendor",NA,1,1,0,0,0,0,0,1,2007,2007,1,2007,NA
