,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,325,325412,Pharmaceutical Preparation Manufacturing,325412,Pharmaceutical Preparation Manufacturing,,,,,,,,,,,,,325,325412,Pharmaceutical Preparation Manufacturing,325412,Pharmaceutical Preparation Manufacturing,,,,,323,323122,Prepress Services,323122,Prepress Services,
,,,,,,,,325,325413,In-Vitro Diagnostic Substance Manufacturing,325413,In-Vitro Diagnostic Substance Manufacturing,,,,,,,,,,,,,325,325413,In-Vitro Diagnostic Substance Manufacturing,325413,In-Vitro Diagnostic Substance Manufacturing,,,,,324,324110,Petroleum Refineries,324110,Petroleum Refineries,
,,,,,,,,325,325414,Biological Product (except Diagnostic) Manufacturing,325414,Biological Product (except Diagnostic) Manufacturing,,,,,,,,,,,,,325,325414,Biological Product (except Diagnostic) Manufacturing,325414,Biological Product (except Diagnostic) Manufacturing,,,,,324,324121,Asphalt Paving Mixture and Block Manufacturing,324121,Asphalt Paving Mixture and Block Manufacturing,
,,,,,,,,325,325510,Paint and Coating Manufacturing,325510,Paint and Coating Manufacturing,,,,,,,,,,,,,325,325510,Paint and Coating Manufacturing,325510,Paint and Coating Manufacturing,,,,,324,324122,Asphalt Shingle and Coating Materials Manufacturing,324122,Asphalt Shingle and Coating Materials Manufacturing,
,,,,,,,,325,325520,Adhesive Manufacturing,325520,Adhesive Manufacturing,,,,,,,,,,,,,325,325520,Adhesive Manufacturing,325520,Adhesive Manufacturing,,,,,324,324191,Petroleum Lubricating Oil and Grease Manufacturing,324191,Petroleum Lubricating Oil and Grease Manufacturing,
,,,,,,,,325,325611,Soap and Other Detergent Manufacturing,325611,Soap and Other Detergent Manufacturing,,,,,,,,,,,,,325,325611,Soap and Other Detergent Manufacturing,325611,Soap and Other Detergent Manufacturing,,,,,324,324199,All Other Petroleum and Coal Products Manufacturing,324199,All Other Petroleum and Coal Products Manufacturing,
,,,,,,,,325,325612,Polish and Other Sanitation Good Manufacturing,325612,Polish and Other Sanitation Good Manufacturing,,,,,,,,,,,,,325,325612,Polish and Other Sanitation Good Manufacturing,325612,Polish and Other Sanitation Good Manufacturing,,,,,325,325110,Petrochemical Manufacturing,325110,Petrochemical Manufacturing,
,,,,,,,,325,325613,Surface Active Agent Manufacturing,325613,Surface Active Agent Manufacturing,,,,,,,,,,,,,325,325613,Surface Active Agent Manufacturing,325613,Surface Active Agent Manufacturing,,,,,325,325120,Industrial Gas Manufacturing,325120,Industrial Gas Manufacturing,
,,,,,,,,325,325620,Toilet Preparation Manufacturing,325620,Toilet Preparation Manufacturing,,,,,,,,,,,,,325,325620,Toilet Preparation Manufacturing,325620,Toilet Preparation Manufacturing,,,,,325,325131,Inorganic Dye and Pigment Manufacturing,325131,Inorganic Dye and Pigment Manufacturing,
,,,,,,,,325,325910,Printing Ink Manufacturing,325910,Printing Ink Manufacturing,,,,,,,,,,,,,325,325910,Printing Ink Manufacturing,325910,Printing Ink Manufacturing,,,,,325,325132,Synthetic Organic Dye and Pigment Manufacturing,325132,Synthetic Organic Dye and Pigment Manufacturing,
,,,,,,,,325,325920,Explosives Manufacturing,325920,Explosives Manufacturing,,,,,,,,,,,,,325,325920,Explosives Manufacturing,325920,Explosives Manufacturing,,,,,325,325181,Alkalies and Chlorine Manufacturing,325181,Alkalies and Chlorine Manufacturing,
,,,,,,,,325,325991,Custom Compounding of Purchased Resins,325991,Custom Compounding of Purchased Resins,,,,,,,,,,,,,325,325991,Custom Compounding of Purchased Resins,325991,Custom Compounding of Purchased Resins,,,,,325,325182,Carbon Black Manufacturing,325182,Carbon Black Manufacturing,
,,,,,,,,325,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",,,,,,,,,,,,,325,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",,,,,325,325188,All Other Basic Inorganic Chemical Manufacturing,325188,All Other Basic Inorganic Chemical Manufacturing,
,,,,,,,,325,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,,,,,,,,,325,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,325,325191,Gum and Wood Chemical Manufacturing,325191,Gum and Wood Chemical Manufacturing,
,,,,,,,,326,326111,Plastics Bag and Pouch Manufacturing,326111,Plastics Bag and Pouch Manufacturing,,,,,,,,,,,,,326,326111,Plastics Bag Manufacturing,326111,Plastics Bag and Pouch Manufacturing,,,,,325,325192,Cyclic Crude and Intermediate Manufacturing,325192,Cyclic Crude and Intermediate Manufacturing,
,,,,,,,,326,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,,,,,,,,,,,,,326,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,,,,,325,325193,Ethyl Alcohol Manufacturing,325193,Ethyl Alcohol Manufacturing,
,,,,,,,,326,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,,,,,,,,,,,,,326,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,,,,,325,325199,All Other Basic Organic Chemical Manufacturing,325199,All Other Basic Organic Chemical Manufacturing,
,,,,,,,,326,326121,Unlaminated Plastics Profile Shape Manufacturing,326121,Unlaminated Plastics Profile Shape Manufacturing,,,,,,,,,,,,,326,326121,Unlaminated Plastics Profile Shape Manufacturing,326121,Unlaminated Plastics Profile Shape Manufacturing,,,,,325,325211,Plastics Material and Resin Manufacturing,325211,Plastics Material and Resin Manufacturing,
,,,,,,,,326,326122,Plastics Pipe and Pipe Fitting Manufacturing,326122,Plastics Pipe and Pipe Fitting Manufacturing,,,,,,,,,,,,,326,326122,Plastics Pipe and Pipe Fitting Manufacturing,326122,Plastics Pipe and Pipe Fitting Manufacturing,,,,,325,325212,Synthetic Rubber Manufacturing,325212,Synthetic Rubber Manufacturing,
,,,,,,,,326,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,,,,,,,,,,,326,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,,,325,325221,Cellulosic Organic Fiber Manufacturing,325221,Cellulosic Organic Fiber Manufacturing,
,,,,,,,,326,326140,Polystyrene Foam Product Manufacturing,326140,Polystyrene Foam Product Manufacturing,,,,,,,,,,,,,326,326140,Polystyrene Foam Product Manufacturing,326140,Polystyrene Foam Product Manufacturing,,,,,325,325222,Noncellulosic Organic Fiber Manufacturing,325222,Noncellulosic Organic Fiber Manufacturing,
,,,,,,,,326,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,,,,,,,,,,,,326,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,,,,325,325311,Nitrogenous Fertilizer Manufacturing,325311,Nitrogenous Fertilizer Manufacturing,
,,,,,,,,326,326160,Plastics Bottle Manufacturing,326160,Plastics Bottle Manufacturing,,,,,,,,,,,,,326,326160,Plastics Bottle Manufacturing,326160,Plastics Bottle Manufacturing,,,,,325,325312,Phosphatic Fertilizer Manufacturing,325312,Phosphatic Fertilizer Manufacturing,
,,,,,,,,326,326191,Plastics Plumbing Fixture Manufacturing,326191,Plastics Plumbing Fixture Manufacturing,,,,,,,,,,,,,326,326191,Plastics Plumbing Fixture Manufacturing,326191,Plastics Plumbing Fixture Manufacturing,,,,,325,325314,Fertilizer (Mixing Only) Manufacturing,325314,Fertilizer (Mixing Only) Manufacturing,
,,,,,,,,326,326192,Resilient Floor Covering Manufacturing,326199,All Other Plastics Product Manufacturing,,,,,,,,,,,,,326,326192,Resilient Floor Covering Manufacturing,326192,Resilient Floor Covering Manufacturing,,,,,325,325320,Pesticide and Other Agricultural Chemical Manufacturing,325320,Pesticide and Other Agricultural Chemical Manufacturing,
,,,,,,,,326,326199,All Other Plastics Product Manufacturing,326199,All Other Plastics Product Manufacturing,,,,,,,,,,,,,326,326199,All Other Plastics Product Manufacturing - except inflatable plastics boats,326199,All Other Plastics Product Manufacturing,,,,,325,325411,Medicinal and Botanical Manufacturing,325411,Medicinal and Botanical Manufacturing,
,,,,,,,,326,326211,Tire Manufacturing (except Retreading),326211,Tire Manufacturing (except Retreading),,,,,,,,,,,,,326,326199,All Other Plastics Product Manufacturing - inflatable plastics boats,336612,Boat Building,,,,,325,325412,Pharmaceutical Preparation Manufacturing,325412,Pharmaceutical Preparation Manufacturing,
,,,,,,,,326,326212,Tire Retreading,326212,Tire Retreading,,,,,,,,,,,,,326,326211,Tire Manufacturing (except Retreading),326211,Tire Manufacturing (except Retreading),,,,,325,325413,In-Vitro Diagnostic Substance Manufacturing,325413,In-Vitro Diagnostic Substance Manufacturing,
,,,,,,,,326,326220,Rubber and Plastics Hoses and Belting Manufacturing,326220,Rubber and Plastics Hoses and Belting Manufacturing,,,,,,,,,,,,,326,326212,Tire Retreading,326212,Tire Retreading,,,,,325,325414,Biological Product (except Diagnostic) Manufacturing,325414,Biological Product (except Diagnostic) Manufacturing,
,,,,,,,,326,326291,Rubber Product Manufacturing for Mechanical Use,326291,Rubber Product Manufacturing for Mechanical Use,,,,,,,,,,,,,326,326220,Rubber and Plastics Hoses and Belting Manufacturing,326220,Rubber and Plastics Hoses and Belting Manufacturing,,,,,325,325510,Paint and Coating Manufacturing,325510,Paint and Coating Manufacturing,
,,,,,,,,326,326299,All Other Rubber Product Manufacturing,326299,All Other Rubber Product Manufacturing,,,,,,,,,,,,,326,326291,Rubber Product Manufacturing for Mechanical Use - except rubber tubing for mechanical use,326291,Rubber Product Manufacturing for Mechanical Use,,,,,325,325520,Adhesive Manufacturing,325520,Adhesive Manufacturing,
,,,,,,,,327,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,,,,,,,,,,,,326,326291,Rubber Product Manufacturing for Mechanical Use - rubber tubing for mechanical use,326299,All Other Rubber Product Manufacturing,,,,,325,325611,Soap and Other Detergent Manufacturing,325611,Soap and Other Detergent Manufacturing,
,,,,,,,,327,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,,,,,,,,,,,,326,326299,All Other Rubber Product Manufacturing - except inflatable rubber boats,326299,All Other Rubber Product Manufacturing,,,,,325,325612,Polish and Other Sanitation Good Manufacturing,325612,Polish and Other Sanitation Good Manufacturing,
,,,,,,,,327,327113,Porcelain Electrical Supply Manufacturing,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,,,,,,,,,,,,326,326299,All Other Rubber Product Manufacturing - inflatable rubber boats,336612,Boat Building,,,,,325,325613,Surface Active Agent Manufacturing,325613,Surface Active Agent Manufacturing,
,,,,,,,,327,327121,Brick and Structural Clay Tile Manufacturing,327120,Clay Building Material and Refractories Manufacturing,,,,,,,,,,,,,327,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,,,,,325,325620,Toilet Preparation Manufacturing,325620,Toilet Preparation Manufacturing,
,,,,,,,,327,327122,Ceramic Wall and Floor Tile Manufacturing,327120,Clay Building Material and Refractories Manufacturing,,,,,,,,,,,,,327,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",,,,,325,325910,Printing Ink Manufacturing,325910,Printing Ink Manufacturing,
,,,,,,,,327,327123,Other Structural Clay Product Manufacturing,327120,Clay Building Material and Refractories Manufacturing,,,,,,,,,,,,,327,327113,Porcelain Electrical Supply Manufacturing,327113,Porcelain Electrical Supply Manufacturing,,,,,325,325920,Explosives Manufacturing,325920,Explosives Manufacturing,
,,,,,,,,327,327124,Clay Refractory Manufacturing,327120,Clay Building Material and Refractories Manufacturing,,,,,,,,,,,,,327,327121,Brick and Structural Clay Tile Manufacturing,327121,Brick and Structural Clay Tile Manufacturing,,,,,325,325991,Custom Compounding of Purchased Resins,325991,Custom Compounding of Purchased Resins,
,,,,,,,,327,327125,Nonclay Refractory Manufacturing,327120,Clay Building Material and Refractories Manufacturing,,,,,,,,,,,,,327,327122,Ceramic Wall and Floor Tile Manufacturing,327122,Ceramic Wall and Floor Tile Manufacturing,,,,,325,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",
,,,,,,,,327,327211,Flat Glass Manufacturing,327211,Flat Glass Manufacturing,,,,,,,,,,,,,327,327123,Other Structural Clay Product Manufacturing,327123,Other Structural Clay Product Manufacturing,,,,,325,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,
,,,,,,,,327,327212,Other Pressed and Blown Glass and Glassware Manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,,,,,,,,,,,,,327,327124,Clay Refractory Manufacturing,327124,Clay Refractory Manufacturing,,,,,326,326111,Unsupported Plastics Bag Manufacturing,326111,Plastics Bag Manufacturing,
,,,,,,,,327,327213,Glass Container Manufacturing,327213,Glass Container Manufacturing,,,,,,,,,,,,,327,327125,Nonclay Refractory Manufacturing,327125,Nonclay Refractory Manufacturing,,,,,326,326112,Unsupported Plastics Packaging Film and Sheet Manufacturing,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,
,,,,,,,,327,327215,Glass Product Manufacturing Made of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass,,,,,,,,,,,,,327,327211,Flat Glass Manufacturing,327211,Flat Glass Manufacturing,,,,,326,326113,Unsupported Plastics Film and Sheet (except Packaging) Manufacturing,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,
,,,,,,,,327,327310,Cement Manufacturing,327310,Cement Manufacturing,,,,,,,,,,,,,327,327212,Other Pressed and Blown Glass and Glassware Manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,,,,,326,326121,Unsupported Plastics Profile Shapes Manufacturing,326121,Unlaminated Plastics Profile Shape Manufacturing,
,,,,,,,,327,327320,Ready-Mix Concrete Manufacturing,327320,Ready-Mix Concrete Manufacturing,,,,,,,,,,,,,327,327213,Glass Container Manufacturing,327213,Glass Container Manufacturing,,,,,326,326122,Plastics Pipe and Pipe Fitting Manufacturing,326122,Plastics Pipe and Pipe Fitting Manufacturing,
,,,,,,,,327,327331,Concrete Block and Brick Manufacturing,327331,Concrete Block and Brick Manufacturing,,,,,,,,,,,,,327,327215,Glass Product Manufacturing Made of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass,,,,,326,326130,"Laminated Plastics Plate, Sheet, and Shape Manufacturing",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",
,,,,,,,,327,327332,Concrete Pipe Manufacturing,327332,Concrete Pipe Manufacturing,,,,,,,,,,,,,327,327310,Cement Manufacturing,327310,Cement Manufacturing,,,,,326,326140,Polystyrene Foam Product Manufacturing,326140,Polystyrene Foam Product Manufacturing,
,,,,,,,,327,327390,Other Concrete Product Manufacturing,327390,Other Concrete Product Manufacturing,,,,,,,,,,,,,327,327320,Ready-Mix Concrete Manufacturing,327320,Ready-Mix Concrete Manufacturing,,,,,326,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
,,,,,,,,327,327410,Lime Manufacturing,327410,Lime Manufacturing,,,,,,,,,,,,,327,327331,Concrete Block and Brick Manufacturing,327331,Concrete Block and Brick Manufacturing,,,,,326,326160,Plastics Bottle Manufacturing,326160,Plastics Bottle Manufacturing,
,,,,,,,,327,327420,Gypsum Product Manufacturing,327420,Gypsum Product Manufacturing,,,,,,,,,,,,,327,327332,Concrete Pipe Manufacturing,327332,Concrete Pipe Manufacturing,,,,,326,326191,Plastics Plumbing Fixture Manufacturing,326191,Plastics Plumbing Fixture Manufacturing,
,,,,,,,,327,327910,Abrasive Product Manufacturing,327910,Abrasive Product Manufacturing,,,,,,,,,,,,,327,327390,Other Concrete Product Manufacturing,327390,Other Concrete Product Manufacturing,,,,,326,326192,Resilient Floor Covering Manufacturing,326192,Resilient Floor Covering Manufacturing,
,,,,,,,,327,327991,Cut Stone and Stone Product Manufacturing,327991,Cut Stone and Stone Product Manufacturing,,,,,,,,,,,,,327,327410,Lime Manufacturing,327410,Lime Manufacturing,,,,,326,326199,All Other Plastics Product Manufacturing,326199,All Other Plastics Product Manufacturing,
,,,,,,,,327,327992,Ground or Treated Mineral and Earth Manufacturing,327992,Ground or Treated Mineral and Earth Manufacturing,,,,,,,,,,,,,327,327420,Gypsum Product Manufacturing,327420,Gypsum Product Manufacturing,,,,,326,326211,Tire Manufacturing (except Retreading),326211,Tire Manufacturing (except Retreading),
,,,,,,,,327,327993,Mineral Wool Manufacturing,327993,Mineral Wool Manufacturing,,,,,,,,,,,,,327,327910,Abrasive Product Manufacturing,327910,Abrasive Product Manufacturing,,,,,326,326212,Tire Retreading,326212,Tire Retreading,
,,,,,,,,327,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,,,,,,,,,,,,,327,327991,Cut Stone and Stone Product Manufacturing,327991,Cut Stone and Stone Product Manufacturing,,,,,326,326220,Rubber and Plastics Hoses and Belting Manufacturing,326220,Rubber and Plastics Hoses and Belting Manufacturing,
,,,,,,,,331,331111,Iron and Steel Mills,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,,,,,,,,,,,,327,327992,Ground or Treated Mineral and Earth Manufacturing,327992,Ground or Treated Mineral and Earth Manufacturing,,,,,326,326291,Rubber Product Manufacturing for Mechanical Use,326291,Rubber Product Manufacturing for Mechanical Use,
,,,,,,,,331,331112,Electrometallurgical Ferroalloy Product Manufacturing,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,,,,,,,,,,,,327,327993,Mineral Wool Manufacturing,327993,Mineral Wool Manufacturing,,,,,326,326299,All Other Rubber Product Manufacturing,326299,All Other Rubber Product Manufacturing,
,,,,,,,,331,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,,,,,,,,,,,,327,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,,,,,327,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,
,,,,,,,,331,331221,Rolled Steel Shape Manufacturing,331221,Rolled Steel Shape Manufacturing,,,,,,,,,,,,,331,331111,Iron and Steel Mills,331111,Iron and Steel Mills,,,,,327,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",
,,,,,,,,331,331222,Steel Wire Drawing,331222,Steel Wire Drawing,,,,,,,,,,,,,331,331112,Electrometallurgical Ferroalloy Product Manufacturing,331112,Electrometallurgical Ferroalloy Product Manufacturing,,,,,327,327113,Porcelain Electrical Supply Manufacturing,327113,Porcelain Electrical Supply Manufacturing,
,,,,,,,,331,331311,Alumina Refining,331313,Alumina Refining and Primary Aluminum Production,,,,,,,,,,,,,331,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,,,,327,327121,Brick and Structural Clay Tile Manufacturing,327121,Brick and Structural Clay Tile Manufacturing,
,,,,,,,,331,331312,Primary Aluminum Production,331313,Alumina Refining and Primary Aluminum Production,,,,,,,,,,,,,331,331221,Rolled Steel Shape Manufacturing,331221,Rolled Steel Shape Manufacturing,,,,,327,327122,Ceramic Wall and Floor Tile Manufacturing,327122,Ceramic Wall and Floor Tile Manufacturing,
,,,,,,,,331,331314,Secondary Smelting and Alloying of Aluminum,331314,Secondary Smelting and Alloying of Aluminum,,,,,,,,,,,,,331,331222,Steel Wire Drawing,331222,Steel Wire Drawing,,,,,327,327123,Other Structural Clay Product Manufacturing,327123,Other Structural Clay Product Manufacturing,
,,,,,,,,331,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",331315,"Aluminum Sheet, Plate, and Foil Manufacturing",,,,,,,,,,,,,331,331311,Alumina Refining,331311,Alumina Refining,,,,,327,327124,Clay Refractory Manufacturing,327124,Clay Refractory Manufacturing,
,,,,,,,,331,331316,Aluminum Extruded Product Manufacturing,331318,"Other Aluminum Rolling, Drawing, and Extruding",,,,,,,,,,,,,331,331312,Primary Aluminum Production,331312,Primary Aluminum Production,,,,,327,327125,Nonclay Refractory Manufacturing,327125,Nonclay Refractory Manufacturing,
,,,,,,,,331,331319,Other Aluminum Rolling and Drawing,331318,"Other Aluminum Rolling, Drawing, and Extruding",,,,,,,,,,,,,331,331314,Secondary Smelting and Alloying of Aluminum,331314,Secondary Smelting and Alloying of Aluminum,,,,,327,327211,Flat Glass Manufacturing,327211,Flat Glass Manufacturing,
,,,,,,,,331,331411,Primary Smelting and Refining of Copper,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,,,,,,,,,,,,,331,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",331315,"Aluminum Sheet, Plate, and Foil Manufacturing",,,,,327,327212,Other Pressed and Blown Glass and Glassware Manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,
,,,,,,,,331,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),331410,Nonferrous Metal (except Aluminum) Smelting and Refining,,,,,,,,,,,,,331,331316,Aluminum Extruded Product Manufacturing,331316,Aluminum Extruded Product Manufacturing,,,,,327,327213,Glass Container Manufacturing,327213,Glass Container Manufacturing,
,,,,,,,,331,331421,"Copper Rolling, Drawing, and Extruding",331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,,,,,,,,,,,331,331319,Other Aluminum Rolling and Drawing,331319,Other Aluminum Rolling and Drawing,,,,,327,327215,Glass Product Manufacturing Made of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass,
,,,,,,,,331,331422,Copper Wire (except Mechanical) Drawing,331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,,,,,,,,,,,331,331411,Primary Smelting and Refining of Copper,331411,Primary Smelting and Refining of Copper,,,,,327,327310,Cement Manufacturing,327310,Cement Manufacturing,
,,,,,,,,331,331423,"Secondary Smelting, Refining, and Alloying of Copper",331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,,,,,,,,,,,331,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),,,,,327,327320,Ready-Mix Concrete Manufacturing,327320,Ready-Mix Concrete Manufacturing,
,,,,,,,,331,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",,,,,,,,,,,,,331,331421,"Copper Rolling, Drawing, and Extruding",331421,"Copper Rolling, Drawing, and Extruding",,,,,327,327331,Concrete Block and Brick Manufacturing,327331,Concrete Block and Brick Manufacturing,
,,,,,,,,331,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",,,,,,,,,,,,,331,331422,Copper Wire (except Mechanical) Drawing,331422,Copper Wire (except Mechanical) Drawing,,,,,327,327332,Concrete Pipe Manufacturing,327332,Concrete Pipe Manufacturing,
,,,,,,,,331,331511,Iron Foundries,331511,Iron Foundries,,,,,,,,,,,,,331,331423,"Secondary Smelting, Refining, and Alloying of Copper",331423,"Secondary Smelting, Refining, and Alloying of Copper",,,,,327,327390,Other Concrete Product Manufacturing,327390,Other Concrete Product Manufacturing,
,,,,,,,,331,331512,Steel Investment Foundries,331512,Steel Investment Foundries,,,,,,,,,,,,,331,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",,,,,327,327410,Lime Manufacturing,327410,Lime Manufacturing,
,,,,,,,,331,331513,Steel Foundries (except Investment),331513,Steel Foundries (except Investment),,,,,,,,,,,,,331,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",,,,,327,327420,Gypsum Product Manufacturing,327420,Gypsum Product Manufacturing,
,,,,,,,,331,331521,Aluminum Die-Casting Foundries,331523,Nonferrous Metal Die-Casting Foundries,,,,,,,,,,,,,331,331511,Iron Foundries,331511,Iron Foundries,,,,,327,327910,Abrasive Product Manufacturing,327910,Abrasive Product Manufacturing,
,,,,,,,,331,331522,Nonferrous (except Aluminum) Die-Casting Foundries,331523,Nonferrous Metal Die-Casting Foundries,,,,,,,,,,,,,331,331512,Steel Investment Foundries,331512,Steel Investment Foundries,,,,,327,327991,Cut Stone and Stone Product Manufacturing,327991,Cut Stone and Stone Product Manufacturing,
,,,,,,,,331,331524,Aluminum Foundries (except Die-Casting),331524,Aluminum Foundries (except Die-Casting),,,,,,,,,,,,,331,331513,Steel Foundries (except Investment),331513,Steel Foundries (except Investment),,,,,327,327992,Ground or Treated Mineral and Earth Manufacturing,327992,Ground or Treated Mineral and Earth Manufacturing,
,,,,,,,,331,331525,Copper Foundries (except Die-Casting),331529,Other Nonferrous Metal Foundries (except Die-Casting),,,,,,,,,,,,,331,331521,Aluminum Die-Casting Foundries,331521,Aluminum Die-Casting Foundries,,,,,327,327993,Mineral Wool Manufacturing,327993,Mineral Wool Manufacturing,
,,,,,,,,331,331528,Other Nonferrous Foundries (except Die-Casting),331529,Other Nonferrous Metal Foundries (except Die-Casting),,,,,,,,,,,,,331,331522,Nonferrous (except Aluminum) Die-Casting Foundries,331522,Nonferrous (except Aluminum) Die-Casting Foundries,,,,,327,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,
,,,,,,,,332,332111,Iron and Steel Forging,332111,Iron and Steel Forging,,,,,,,,,,,,,331,331524,Aluminum Foundries (except Die-Casting),331524,Aluminum Foundries (except Die-Casting),,,,,331,331111,Iron and Steel Mills,331111,Iron and Steel Mills,
,,,,,,,,332,332112,Nonferrous Forging,332112,Nonferrous Forging,,,,,,,,,,,,,331,331525,Copper Foundries (except Die-Casting),331525,Copper Foundries (except Die-Casting),,,,,331,331112,Electrometallurgical Ferroalloy Product Manufacturing,331112,Electrometallurgical Ferroalloy Product Manufacturing,
