"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"366","EXCALIBUR","Ordnance and Missiles",,,,,,,,,,,,,,,,4458274,757871,58565919.5625,168836072.755,394302.9089,-54677.6211,-7120418.3053,3403029,1979449.24,5620042,10804216,9600802,15360467.6602,5142400.8368,1881512.6875,1354225.3486
"367","HIMARS ","Ordnance and Missiles",,,,,,,,,,,,,,,,1335989,166945519,199287909.2031,313790376.7009,283751428.7736,319816271.5836,46294502.562,37307907.6387,34008923.43,21061999.28,25152424.3164,28763316.2188,27921572.9708,26801673.8749,32561985.9675,4508390.3926
"368","AGM-88E AARGM ","Ordnance and Missiles",,,,,,,,,,,,,,,255128,26492,72380,,,53478144.5,51892939.9219,1049921,155438745,110059824.98,102626337.84,130545421.1691,138524212.3555,173238035.7109,267210625.9689,199601850.3068,178345726.4618
"369","AOC-WS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,808676,,,,,,,,,,,,,,,,
"370","JOINT COMMON MISSILE ","Ordnance and Missiles",,,,,,,,,,,,,,,102452331,173368027,121080286,34360107,20939357.625,14159862.4547,27437069.4955,18625115.5329,5752966.4081,5281.52,5685.7,-87594.4492,-34329.5195,,,,
"371","ACS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,19480163,149599430,43780136,33526339,49474617,47539165,54693159,56949639,46198760,36480986,933811,,,,0,,
"372","JLENS ","Missile Defense",,,,,,,,,,,,,,,26970621,77886923,46727930,63972794,20549107.3906,13807826.8374,9161168.8984,8341373.7774,294614.957,307425.36,-222458.22,-1078230.08,-642647.1563,-127030.2217,,-2219.8101,-1764.34
"374","LCS ","Ships & Submarines",,,,,,,,,,,,,,,131650,238857,,4818995,23981528.5996,67258,46985,0,,,,2589900,41754547.0664,12010148.5,11305071.2109,115112.2406,20004657.8848
"378","EA-18G ","Aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,53679072,0,0,86856,82646750,37125082.75
"382","TSAT ","Space Systems",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"384","384","Missile Defense",,,,,,,,,,,,,,,,,,,,,,,,,,19104474.4878,114346066,258096914.5938,8564764.3101,98708050.1016,109286392.4865
"386","ADS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,,29000,,,,,,,,,,,,
"390","HLR ","Aircraft",,,,,,,,,,,,,,,1417910,1407995,,,,,,,,,,,,,,,512515.8125
"391","SM-6","Missile Defense",,,,,,,,,,,,,,,6335577,62659367,83244737,99160152,22298320,467660181,122162742,214476046,2382212,1246564,1650873,1656682,78755.6814,36532265.4504,67375940.4,51690082,533720335
"3ABA","B-26 INVADER","Aircraft",,,,180686,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3ABE","B-57 CANBERRA","Aircraft",,,,,,88180,,,,,,,,,,,,,,,,,,,,,,,,,
"3ABG","B-50 SUPER FORTRESS","Aircraft",,,,,,,,,,230501,,,,,,,,,,,,,,,,,,,,,
"3ACA","C-5 GALAXY","Aircraft",33000,97000,-33467,29506,136049,50146,35978,81669,124785,,,,3572305,985079,,,,,,,,,,,,,,,,,
"3ACE","CX-2","Ordnance and Missiles",1156000,350000,,,,492505,,1250000,38142,-256000,,,,88000,,,,,,,,,,,,,,,,,
"3ACR","KC-135 STRATOLIFTER","Aircraft",49000,145000,241574,136424,50711,109032,206172,,,,,,,162827,,,,,,,,,,,,,,,,,
"3ACS","C-141 STARLIFTER","Aircraft",,167000,,76140,2936052,,,,48995,-134974,90641,,,112151,,,,,,,,,,,,,,,,,
"3ADG","C-17A CARGO TRANSPORT","Aircraft",,,,,,,750776,346344,1118547,216326,113850,157152,1640856,3143903,,,,,,,,,,,,,,,,,
"3AFB","F-22 Raptor","Aircraft",,,,57445,185413,,,,63368,,,,91805,,,,,,,,,,,,,,,,,,
"3AFE","F-12","Aircraft",,,,,,,,,,,,,769872,,,,,,,,,,,,,,,,,,
"3AFK","F-104 STARFIGHTER","Aircraft",325000,507000,,33738,300060,,,,,,,,,,,,,,,,,,,,,,,,,,
"3AFM","F-106 DELTA DART","Aircraft",,218000,,,,,,,,,,,69300,,,,,,,,,,,,,,,,,,
"3AFN","F-111","Aircraft",14194000,2692000,3096450,1045942,2965990,4774101,1095909,933070,2095107,1304172,162513,1188262,99965,,,,,,,,,,,,,,,,,,
"3AFR","F-86 SABRE","Aircraft",47000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3AFV","F-117 STEALTH","Aircraft",,,,,,182520,47061,162958,,,60991,,,96198,,,,,,,,,,,,,,,,,
"3AHD","H-3 JOLLY GREEN GIANT","Aircraft",25000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3ATA","T-37","Aircraft",,33000,47100,,,1046264,243496,41563,536576,,,,,62405,,,,,,,,,,,,,,,,,
"3AUJ","U-2","Aircraft",,,,,,,,,,9727573,4869567,5313273,7280383,11309903,,,,,,,,,,,,,,,,,
"3AVJ","OV-10 LARA (NOW BRONCO)","Aircraft",276000,,,220680,,439852,,,,,,,,211844,,,,,,,,,,,,,,,,,
"3BSF","A-10","Aircraft",468000,8419000,-5697006,-2941960,-1933453,2495605,931845,663596,,,,685868,1213343,,,,,521601.2344,337656,,42724.3008,,,104879.36,0,,,,,,
"3BSP","F-101","Aircraft",,,,40200,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3BSR","F-100 Engine","Aircraft",,,,,,,,,,813563,181337,,,,,,,,,,,,,,,,,,,,
"3CEA","DEF METEOR SAT PROG",,11406000,1e+05,1878157,10544441,4577663,1637303,1357326,15834990,29096021,67903509,60023094,41391101,44911918,13289353,,,,,,,,,0,,,,,,,,
"3CLA","MLV II MEDIUM LAUNCH VEHI","Space Systems",,3437000,9541104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CLB","LAUNCHER LAU-3A","Missile Defense",,-55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CLF","DELTA II BOOSTER PROGRAM","Space Systems",,2286000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CLL","EVOLVED EXPENDABLE LV PRO","Space Systems",,,,,,,,,,,81279848,394871360,,,,,,,,,,,,,,,,,,,
"3CMA","CGM/HGM-16 ATLAS","Ordnance and Missiles",25748000,25055000,20049617,25445079,20200618,13287419,-571289,,,,,,,,,,,,,,,,,,,,,,,,
"3CMC","H/LGM 25 TITAN",,60445000,45829000,142335260,201776755,194186086,135109475,18509370,-37819529,2803304,,,,,,,,,,,,,,,,,,-3336160.25,,,,
"3CMJ","ADM-20 QUAIL","Ordnance and Missiles",269000,,99962,-241475,42253,3537087,498704,7188514,11048527,-60551,,35470,2009770,-41400,,,,,,,,,,,,,,,,,
"3CMN","AGM-65 MAVERICK","Ordnance and Missiles",325700000,305569000,39560038,91516208,16401688,6752845,10748370,35460050,16606486,5482769,50676,287029,415736,39884747,,,,,,,,-114980,,,,,,,,,
"3CMS","AGM-69 SRAM(SHT RG ATTK M","Ordnance and Missiles",394000,8127000,12502885,3308818,8431000,38462247,24596437,19004858,25226646,86138722,43540947,,,,,,,,,,,,,,,,,,,,
"3CMU","LGM-30 MINUTEMAN","Ordnance and Missiles",237416000,293005000,266103091,228010871,183251080,247763098,266477280,303717913,316633515,314265260,72080362,77084362,76703466,89296547,,,,,,-1495126.9936,-17382.2202,-168905.2657,,,,,,,,0,
"3CMV","AGM-80 VIPER","Ordnance and Missiles",210000,-293000,3091785,2176071,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CNF","ZAGM-86","Ordnance and Missiles",127595000,44410000,2081537,2293153,1646047,229118,657364,544894,1179988,1040110,25947217,17424313,2893946,4002072,,,,,,0,-91.71,,,,,,,,,0,0
"3CNJ","MX-MISSILE","Ordnance and Missiles",1067553000,306220000,4214409,-26283827,2838307,-7708027,1981976,-3261855,459563,104602,1730099,1647523,-55384,189814,,,,,,,,,,,,,,,,,
"3CNL","IUS FULL SCALE DEVELOP SY","Space Systems",165906000,119803000,114551678,118033192,91833008,115135826,53431715,29418743,20001997,38192528,35278986,35739442,36725071,11387597,,,,,,,,,,,,,,,,,
"3CNN","SPACE DEF SYSTEM 64406F","Space Systems",,38883000,20313384,,65325,137151,,,-61981,,,,1071338,14782994,,,,,,-22525.7305,-188491.1392,,,,,,,,,,
"3CNP","SPACE SHUTTLE 64411F","Space Systems",5888000,4070000,13805183,2297075,3653907,11270730,375015,204551,187412,,,,,385000,,,,,,,-154.9,-44256.4414,,,,,,,,,
"3CNQ","ASMS ADV STRATEGIC MSL SY","Space Systems",76935000,60557000,88064794,72610055,32388388,36181520,37252246,50451715,47177301,42416962,16568699,9588544,4609655,390539,,,,,,,,,,,,,,,,,
"3CNT","SICBM SM INT BALL MSL",,282056000,228927000,120106505,18117339,22361384,16561500,-3818595,-7866407,24588,-12002271,946070,,,,,,,,,,,,,,,,,,,,
"3CNV","PEACEKEEPER MISSILE","Ordnance and Missiles",142000,162659000,202527255,154994063,135443032,112384159,134843210,173215808,163260689,125046397,-65043592,8907144,66255,-366495,,,,,,-651860.5625,,,,,,,,,,,
"3CNZ","TACIT RAINBOW MISSILE","Ordnance and Missiles",,,389512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CPA","TITAN IV LAUNCH VEH PROGR","Space Systems",544532000,1345450000,931920784,1126822689,1167317863,793387281,746818850,691040424,919853477,864601035,264915250,272968677,263552182,103756010,,,,,,,-7179128.375,-1372634.2539,,,,,,,,,
"3CPB","ADVANCED CRUISE MISSILE","Ordnance and Missiles",,,1105274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CPC","PEACEKEEPER RAIL GARRISON","Ordnance and Missiles",,52090000,918257,10051916,379405,3783825,3022968,7368061,529405,-199000,,,,,,,,,,,,,,,,,,,,,
"3CPF","AGM-129/A ADV CRUISE MISS","Ordnance and Missiles",,,,,13155045,20793259,12795124,-9075475,5979573,12781994,-693524,5785722,7519060,12919471,,,,,,,,,,,,,,,,,
"3CRN","PWN-11 PROBE","Ordnance and Missiles",,3396000,565552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3DBI","ARMORED VEHICLE","Land Vehicles",,3e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3DNC","LOADER A/C 40K",,,,,,,,,,52400,133382,261866,,,,,,,,,,,,,,,,,,,,
"3EBB","GPU-5A 3UMM POD","Ordnance and Missiles",,,111990,59665,,42956,113200,527544,,,,,304586,,,,,,,,,,,,,,,,,,
"3EBC","GAU-5 MACHINE GUN","Ordnance and Missiles",,171000,240000,,,40848,423898,,,81662,,162674,125322,1163550,,,,,,,,,,,,,,,,,
"3EBE","81MM MORTAR","Ordnance and Missiles",,765000,1384754,-307045,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3EBF","9 MM HANDGUN","Ordnance and Missiles",,,39159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FAA","AGM-62/A WALLEYE","Electronics, Comms, & Sensors",,,31752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FAH","E-O BOMB GUIDANCE KIT","Ordnance and Missiles",,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FAL","MK-82 500 LB","Ordnance and Missiles",,,,29300,91191,5556311,,241591,1624176,468646,,,,3897778,,,,,,,,,,,,,,,,,
"3FBF","38 CALIBER","Ordnance and Missiles",,,843607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FBU","3FBU","Ordnance and Missiles",,,,654500,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FCS","IMPULSE ARD-863-1","Ordnance and Missiles",,,,282959,,,,,343850,,,,,1310383,,,,,,,,,,,,,,,,,
"3FIB","BDU-38 PRACTICE","Ordnance and Missiles",967000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FIC","GBU-15","Ordnance and Missiles",25427000,11291000,10240040,107039785,4270976,85933068,69964363,59195588,15427205,1039290,1475272,,-267775,581194,,,,,,,,,,,,,,,,,
"3FIE","BSU-50 AIR INFLATE RETARD","Ordnance and Missiles",,28000,,2969810,,,,38000,,,,,,,,,,,,,,,,,,,,,,,
"3FIG","CBU-89 TMD/GATOR","Ordnance and Missiles",,38000,,96149,184365,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FKB","FMU-113/B","Ordnance and Missiles",,,31575,,,30783,,,,,,,,,,,,,,,,,,,,,,,,,
"3FKM","FMU-124","Ordnance and Missiles",1408000,973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3FKR","FMU-130","Ordnance and Missiles",,,36610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3GAD","GEODSS","Space Systems",6377000,6760000,12524866,255618,16570458,7536594,5197109,6120608,610277,456000,-65214,,,1803993,,,,,,,,,,,,,,,,,
"3GAJ","NAVSTAR","Space Systems",130908000,330465000,263751918,320590119,289920445,342657661,280652901,292108468,252000645,191067412,19914422,73457444,73647684,252667774,,,,,,,,,,,,,,,,0,
"3GBU","PEACE QUIET",,,,,,,41300,,,,,,,,,,,,,,,,,,,,,,,,,
"3GDE","DSCS-3 DEF STAT COMM SYS","Space Systems",65105000,76608000,59340726,30331607,27409865,18063622,46945131,48610385,84464675,31091484,29311385,23742163,15163277,7335963,,,,,,,,,,,,,,,,0,
"3GMB","AN/FPS-108 PHASED ARRAY R","Missile Defense",92000,303000,,30000,,2851719,97000,528000,,95069,78192,1921846,453812,956641,,,,,,,,,,,,,,,,,
"3GMD","AN/MPS-T1 RADAR CONTROL V","Missile Defense",1227000,-1305000,187193,-524178,350569,73750,,43498,,,434125,,1865509,578654,,,,,,,,,,,,,,,,,
"3GMF","AN/MES-T1 RADAR SETS","Missile Defense",41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3GNG","AN/GPS-6","Missile Defense",,613000,1036370,636191,3139790,1536226,704209,44208,3812500,,,,,,,,,,,,,,,,,,,,,,
"3GNJ","AN/APN-59 WEATHER RADAR","Missile Defense",,1038000,1271344,297161,175527,-27089,,,,360267,236271,133964,120655,35460,,,,,,,,,,,,,,,,,
"3GNR","AN/APQ-102 RADAR SYS","Missile Defense",,,51237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3GNV","IMPROVED RADAR SIMULATOR","Missile Defense",140000,,,,,69426,-293471,485750,,,-75414,,39851,,,,,,,,,,,,,,,,,,
"3GNW","AN/FPS-117 RADAR SEEK IGL","Missile Defense",1041000,18060000,14893754,31839968,5215008,2045890,4588604,2437374,1580718,3929184,9424770,1222403,29485564,16362727,,,,,,0,-25000,,,,,,,,,,
"3GYD","NPOESS (DOC/NOAA)","Space Systems",,,,,,,,,,,23790481,64364245,130045004,2781770,,,,,,,,,,,,,,,,,
"3GYL","DEFENSE SUPPORT PROGRAM","Missile Defense",,310305000,110696651,188699114,417386764,284304163,243956218,39985112,97477654,71545120,18517753,25946887,-6019573,7908475,,,,,357765.25,,,,,,,,,,,,
"3GYO","COBRA DANE","Missile Defense",7555000,7999000,13017135,5358971,1832688,,4116424,4881791,6665877,4635221,5902229,2992526,1728594,,,,,,,,,,,,,,,,,,
"3GYT","WWMCCS (DSP) 12431F","Electronics, Comms, & Sensors",4359000,95000,1470000,-110921,-459507,,,,,,,,,,,,,,,,,,,,,,,,,,
"3GYZ","DEF MET SAT PROGRAM (DMSP","Ordnance and Missiles",,130802000,168154220,59528809,43521400,65974868,62507731,92543193,52454840,47538946,49054138,44848106,12317606,8034005,,,,,,,,,,,,,,,,0,
"3HBH","FLARE MJU-10","Missile Defense",,,114850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3HXN","CONTAINER EXPANDABLE SHEL","Facilities and Construction",,,41990,-41990,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3HYC","MODERNIZATION",,,,,499893,,,,184100,,,,,,,,,,,,,,,,,,,,,,,
"400","DSCS II ","Space Systems",,,,,,,,,,,,,,,,,,264607.875,,,,,,,,,,,,,
"401","MINUTEMAN III ","Ordnance and Missiles",,,,,,,,,,,,,,,,,0,71186168.1617,64581625.418,81814156.8703,44751009.7292,83522603.1661,107739632.1616,187078792.2517,304347004.5903,187041413.9662,159884756.9394,146129572.7158,177633668.6182,175262835.5756,201181550.748
"402","GCSS-A INC 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87400,,
"404","B-1 ","Aircraft",3262000,6810000,4898232,1553940,6285572,11949614,22604270,10162517,1716098,5038909,2112379,1981151,11054900,7935728,,,,125175,187617.8105,,,,31298.4004,228956.16,627112.16,,-5056.7202,,,,
"406","SPARROW (AIM-7E) (AF) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,,11572,,,,,,,,,
"409","M60A2 TANK ","Land Vehicles",,,,,,,,,,,,,,,,,,65765.8999,30165.9199,14945.4902,69099.94,,,554772.75,267602.95,,,0,,,
"439","439","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,,,,,,47049131.4299,67351159,94073479,236411184,306233442.8501,98610263.6885
"442","442",,,,,,,,,,,,,,,,,,,,,,,,,,,238452307.65,347271886.6563,271073507.1275,34361995.1301,896179696.8716,453307168.84
"443","443",,,,,,,,,,,,,,,,,,,,,,,,,,,,12664727,0,-53642,,
"466","466",,,,,,,,,,,,,,,,,,,,,,,,,,,,58657,0,724444.3506,447606.4981,-2759.53
"470","470",,,,,,,,,,,,,,,,,,,,,,,,,,,8872876.4393,22705774.9483,10431455.5,16790483.2491,4078205.6094,4723316.6866
"471","AMPV","Land Vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,374400,,
"490","MNVR","Land Vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16768.8691,,
"492","PAC-3 MSE","Missile Defense",,,,,,,,,,,,,,,,,,,,,,,,,428167663.37,1830588298,1826374230.0419,84766828.588,59738487.6095,229141613.7293,201097906.5165
"493","GBSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1e+08
"503","JDAM ","Ordnance and Missiles",,,,,,,,,,,,,,,84665834,816795816,401493724,370590250.7399,248295571.4073,234651142.6542,372143703.4234,254644104.8478,311364143.5745,320720211.36,33129911.3,266874105.9019,878989166.5156,857339875.4366,1271501869.2469,971018270.8506,37126918.5418
"505","505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558108891.4062,4555688642.2628
"508","UHF FOLLOW-ON ","Space Systems",,,,,,,,,,,,,,,,,,,-1132207,186185.4375,233246.1021,,13312,70666.42,63166.3,0,,,,,
"511","511","Missile Defense",,,,,,,,,,,,,,,,,,,,,,,,90000,90000,,,,,0,
"512","ACWS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74752
"515","EFV (AAAV) ","Land Vehicles",,,,,,,,,,,,,,,30562,,,4085469,-18041.0996,3593181.625,-20104.7598,,,,,,,,,,
"516","SSN 774 ","Ships & Submarines",,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,
"525","CGS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,,,,,9360,,,,,,,,,
"527","Massive Ordnance Penetrator (MOP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7901555.1563,25733235.1445
"529","AAG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,14896.2002,,,
"530","AV-8B REMANUFACTURE ","Aircraft",,,,,,,,,,,,,,,,1536209,,,7418.2998,0,,,,,,,,,,,
"531","PATRIOT/MEADS ","Missile Defense",,,,,,,,,,,,,,,,,,,,,1996697.7266,,639495.0625,9727091.9453,37489754.3204,1178125193.6519,43880785.7099,1575506147.7566,3902237456.5622,1126825152.759,615142410.2882
"532","532","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,,,,14938.02,,,,,,,
"534","TACIT RAINBOW (JGL) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,95625,,,-2798,,,,30387.6,25648.35,,,,,,
"536","536","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,,,,1467,,,,,,,
"541","LONGBOW HELLFIRE ","Ordnance and Missiles",,,,,,,,2800000,103550100,4695322,1775504,2807797,7459208,82360,39921144,121439592,193675593.7402,8125750.5568,28000586.6739,31345938.024,2448121.5562,-577492.8594,486948.1542,-129327.68,816650,509908.89,-138985,-37352.7114,-679916.2891,,-11795.6104
"545","ATACMS BAT ","Ordnance and Missiles",,,,,,,,,,,,9900,253639,121966,283646,4899615,,2104.5,66891.9391,13436,-6966.8901,,-9072.9902,0,0,,,,,0,
"549","F/A-18 E/F ","Aircraft",,,,,,,,,,,,,,,751603,12224710,117109,13108885,31430445,38763704,26865364,15932680,63685118,29931920,47632705,0,0,-1e+05,,0,-42577
"551","NESP ","Space Systems",,,,,,,,,,,,,,,24921008,4527755,17039192,29874508,14904213,4702827,909012,-44000,-71416.9791,,,,,,,,
"553","THAAD ","Missile Defense",,,,,,,,,,,,,,,,84101,,,3212448,27544215.4643,50572063.5099,71424566.8059,42940175.0849,350508.68,-4395676.94,-506551.1355,-800655.8765,-2155289.9847,,,
"554","MIDS-LVT ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,36900,,,,,,,,,,,,,,,,
"555","JASSM ","Ordnance and Missiles",,,,,,,,,,,,,,,112007225,145884790,197420097,161612871.5727,171290769.9577,55772029.9823,172477825.8203,257669710.7012,263783134.5523,86098968.07,521613267.44,84058772.4325,834237926.1737,654747930.265,162374147.9648,774606176.2531,1304891832.759
"560","JPATS ","Aircraft",,,,,,,,,,,,,,,,,,,,,235559.2657,,,,,,,,,,
"575","ABRAMS UPGRADE ","Land Vehicles",,,,,,,,,,,,,,,895017.5,17666311,2270103,17498799.1797,12355928.2248,5587541.7065,1299589.945,7489413.3881,366280.2284,-87946.35,-489804.03,-10547.0098,,-25000,-110024.84,-0.44,-184414.125
"576","Mk21A Reentry Vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49727103
"578","NAVY AREA TBMD ","Missile Defense",,,,,,,,,,,,,,,,0,876859,8436238,4347571.9688,1038064.2344,876196,1256294.8906,0,,-37890.48,,,,,,
"580","FAAD C2I(ATCCS) ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,99176,,,,,,,,,,,,,,
"581","AIM-9X ","Ordnance and Missiles",,,,,,,,,,,,,,,464732101,10218362,58365107,201420782,176043145.5,226764639.3438,194109468.8908,127114949.9741,295542675.8204,279082373.86,341941786.03,39497646.8323,-4843146.8437,-113486.1094,-268738.2656,-2754776.3809,-1715185.5128
"586","586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60637232
"601","BRADLEY UPGRADE ","Land Vehicles",,,,,,,,,,,,,,,1836112,142512149,31624639,-139246.6459,,0,48215076,1269715.5605,0,,0,,,,,,
"724","MCS (ATCCS) ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,2587,,,,,,,,,,,,,,,
"735","SADARM ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,494851.0938,237000,280635.5234,,,,-6524.8,,-51074.7188,,,
"746","FMTV ","Land Vehicles",,,,,,,,,,,,,,,,,,,,,,24360.5996,170011.77,6584.26,1432,0,,,,,
"752","NATO AAWS ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,35500,7675,,,,,,,,,,,
"755","B-2A ","Aircraft",,,,,,,,,,,,,,,433070,,,,,420000,0,192949.6099,88114.9531,101888.93,278880,0,,,,,
"766","JSOW ","Ordnance and Missiles",,,,,,,,,,,,919724,481691,,11858254,22720484.5,22444432.4317,173620531.7618,168890304.1563,193239076.627,137847342.5636,138959072.0557,118973220.4236,116779332.58,116400881.17,211189991.7359,58370045.0069,31258630.8508,247749447.1054,24247614.02,176156157.0158
"769","LAV (NAVY) ","Land Vehicles",,,,,,,,,,,,,,,,,,95615.1602,357628.2734,3639919.5,56922,2224733.0098,18687109,9056952,627035.49,76046212,79428177.3067,8792429,-813648.0215,130978.5206,-9225.5098
"782","B-52 OAS/CMI MODS ","Aircraft",,,,,,,,,,,,,,,,,,137895.1875,295223.5,,,-2270.95,,,339800.36,0,,,,,
"788","MILSTAR ","Space Systems",,4943000,45042517,417824775,871012092,539320048,464302558,622468823,567391781,488879105,352723493,394238915,192743207,123844663,156953983,236022787,228589758,370051876.4043,357654800.9502,257906420.9344,97106121.1456,106445139.7824,90147962.2618,108986164.0209,81052687.0587,34977120.6919,-33686.6484,20078.2998,-16706.3105,-1269.08,-696607.0625
"831","LONGBOW APACHE ","Aircraft",,,,,,,,,,,,,,161771,,,,14863,,,,,,,,,,,,,
"948","AVENGER (FAADS LOS-R) ","Missile Defense",,,,,,,,,,,,,,,,,,-16019914.7968,135032.5722,726478.8741,6363765.4608,1034769.8418,10750281.086,3187674.9,4793288.48,4047627,2732328,5453987.6173,-533353.5625,0,-4008
"963","NMD ","Missile Defense",,,,,,,,,,,,,,,163409,6300,1259086,3680824.75,4809133,5269788.875,2936511.7696,7024838.6875,2183671.75,630260.86,,,0,-2680.72,-70341.8438,,
"A6","A6","Ordnance and Missiles",,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,
"AAC","A-4 SKYHAWK","Electronics, Comms, & Sensors",298000,249000,703076,1443378,239291,93222,179025,,,30159,2912748,,,753567,,,,,,,,,,,,,,,,,
"ABC","B-52 STRATO FORTRESS","Electronics, Comms, & Sensors",185000,1950000,1145794,-2114,382387,,156925,166659,98576,504893,252511,,114011,489252,,,,,,,,,,,,,,,,,
"ABK","B-2 STEALTH","Aircraft",,,,,104520,491194,317250,1417438,2001945,713578,128016,,,37189,,,,,,,,,,,,,,,,,
"AFC","F-4 PHANTOM II","Aircraft",4570000,10242000,5469204,695963,402281,561879,693687,230238,664915,1405325,327638,1079674,179256,542175,,,,,,,,,,,,,,,,,
"AFF","F-15 EAGLE","Aircraft",1964000,7612000,756044,8414290,2132678,3005230,256189158,2583478,3973678,3064387,974312,971906,1184862,2873295,,,,,,,,,,,,,,,,,
"AFH","F-16 FALCON","Aircraft",2430000,2252000,5969579,18594367,2248181,9710061,6609472,3558377,4838186,2935826,1055986,,11381724,9740732,45000,,150518,,,,,,1996.4399,0,,,,,,,
"AHA","UH-1 IROQUOIS","Aircraft",,,6292781,2182500,-712570,76276,33399,184979,60000,85600,10451128,7785076,68888,25340,,,,,0,,,,,,,,,,,,
"AHC","OH-58 KIOWA (AHIP)","Aircraft",674000,216000,1340848,327865,840057,873000,1867062,1215445,1046349,,219852579,20244350,981952,40952880,,,,,,,,,,,,,,,,,
"AHL","HH-53 SUPER JOLLY","Aircraft",,25000,,,,,,,,,,,339831,,,,,,,,,,,,,,,,,,
"AHV","SH-60 SEAHAWK","Aircraft",,79000,98251,,1186481,,32319,-20030,,7779417,,,,328743,,,,,,,,,,,,,,,,,
"AIA","BLACKHAWK","Aircraft",,,,,,,,,,,1062366,2094214,4783813,3037505,3467330,1006049,730363,48612,,,,,,-116271.08,,,,0,,,
"CAA","MISSILE DEFENSE AGENCY SU","Missile Defense",,,,,,,,,,,293472820,1096917453.3999,2624331043.8281,2981694001.0938,4455972289.586,4901894864.1563,4487226755.394,5636680902.7984,5827414394.0719,5278493209.1992,5134824130.9691,5072049489.9168,6412980606.3249,7378691004.6217,5574708066.684,4234648142.4837,6075253984.317,5113479977.5101,7582447549.013,8027187255.4746,11487011866.0383
"CMD","AIM-9 SIDEWINDER","Ordnance and Missiles",67463000,84746000,78863587,29932288,49144273,146198335,68636858,6493717,10566189,33692686,12740314,25788112,27884659,22838045,,,,,,,-6000,-77574,,,,,,,,,
