"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1AHM","AH-1 COBRA","Aircraft",,,1554390,,21720795,4613142,997060,,1403764,26091,4657219,132510,536404,-383,,,,,,,,,,,,,,,,,
"1AHP","AH-1S COBRA TOW","Aircraft",,129000,92900,173339,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1AHS","214 COMMERCIAL","Electronics, Comms, & Sensors",,,,,,,,,,,,,,2073000,,,,,,,,,,,,,,,,,
"1AHW","AH-1G HUEYCOBRA","Aircraft",-134000,5723000,,10902035,-3906,185017,363042,,250809,317993,632166,1022430,,99968,,,,,,,,,,,,,,,,,
"1AIA","UH-60 BLACKHAWK UTTAS","Aircraft",,1680000,28912,,39728,88705,225238,33099215,355950,380000,108993542,139257906,330291,7500253,,,,,,0,,,,,,,,,,,
"1AIB","QH-50","Aircraft",,,1715817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1AIC","AH-64 APACHE","Aircraft",,12515000,2421061,2095358,5656422,3774611,1679372,182536,3455814,5642793,179732899,3525873,6200559,9332335,,,,,,-85418.9922,-3546,-15.05,,,,,,,,,
"1BTC","T-55","Aircraft",,,520380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1BTK","T-64","Aircraft",,-26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CAA","BALLISTIC MISSILE DEFENSE","Ordnance and Missiles",1111831000,1806398000,2310459001,2250868376,1940818542,1274477621,1364775712,1590347126,1640346722,1797268774,1723313820,1151650709,619955286,626101333,1482867,,,,-232087.9468,-738466.3701,-1307972.8354,-995751.6123,,,,,,0,-86754.8106,0,0
"1CED","BALL MSL DEF SYS","Missile Defense",,188692000,253550375,188359758,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMA","MIM-14 NIKE HERCULES","Ordnance and Missiles",29000,249000,703767,185177,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMB","XAGM-22 (SS-11) MSL SYS","Ordnance and Missiles",,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMC","MIM-23 HAWK","Ordnance and Missiles",205063000,162132000,197826454,132065585,87798117,32536424,123617817,190038330,194297046,71127213,40994361,26721355,42838539,47933327,,,,,,-3313.49,-38.69,,-64832.6016,,,,,,,,0
