"","CSIScontractID","IsOriginal","IsComplete","Action.Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","StartFiscal_Year","WhyMissing"
"4285",62469898,NA,1,0,0,0,2015-11-23,2015-03-26,2015-03-26,2015-03-26,2015,"Unknown Other"
"4286",60351463,NA,1,1193323.1718,1,0,2017-09-30,2014-11-01,2016-09-26,2014-11-01,2015,"Close/Term LastCurrent Out of Range"
"4287",60391346,NA,1,39425469.2952,1,0,2017-11-01,2015-01-29,2016-01-26,2015-01-29,2015,"Close/Term LastCurrent Out of Range"
"4288",9320754,NA,1,-154.62,0,0,2001-03-31,2009-10-27,NA,2009-10-27,2010,"Unknown Other"
"4289",8322139,NA,1,0,1,0,NA,2010-08-18,2010-08-18,2010-07-21,2010,"Close/Term LastCurrent Out of Range"
"4290",8329331,NA,1,0,1,0,NA,2008-03-18,2008-03-18,2008-03-18,2008,"Close/Term LastCurrent Out of Range"
"4291",26345545,NA,1,16380.8299,1,1,2018-03-10,2013-09-30,2014-01-30,2013-11-04,2013,"Close/Term LastCurrent Out of Range"
"4292",25580099,NA,1,2659680.0207,1,0,2018-01-30,2013-05-29,2016-09-22,2013-06-01,2013,"Close/Term LastCurrent Out of Range"
"4293",9432000,NA,1,-18882.4492,1,0,2010-04-22,2010-04-22,NA,2010-04-22,2010,"Unknown Close/Term"
"4294",62239266,NA,1,0,0,1,2015-11-02,2015-09-03,2015-09-03,2015-09-03,2015,"Unknown Close/Term"
"4295",4894954,NA,1,0,1,1,NA,2011-08-31,2011-08-31,2011-08-31,2011,"Close/Term LastCurrent Out of Range"
"4296",62491877,NA,1,0,0,0,2015-12-28,2014-12-30,2014-12-30,2014-12-30,2015,"Unknown Other"
"4297",25236499,NA,1,5175,1,0,2014-09-30,2013-09-08,2013-09-08,2013-09-08,2013,"Unknown Close/Term"
"4298",3390118,NA,1,0,1,0,NA,2011-12-22,2011-12-22,2011-12-22,2012,"Close/Term LastCurrent Out of Range"
"4299",60837695,NA,1,-26150.0098,0,0,2016-04-14,2015-02-05,NA,2015-02-05,2015,"Unknown Other"
"4300",25260895,NA,1,0,0,0,2015-03-31,2014-03-31,NA,2014-03-31,2014,"Unknown Other"
"4301",3388705,NA,1,0,1,0,NA,2009-08-13,2009-08-13,2009-08-13,2009,"Close/Term LastCurrent Out of Range"
"4302",3397383,NA,1,624815.0341,1,0,2020-02-28,2010-11-24,2011-09-01,2010-11-05,2011,"Close/Term LastCurrent Out of Range"
"4303",26315952,NA,1,7854,0,0,2013-12-15,2013-10-17,2014-03-17,2013-10-17,2014,"Unknown Other"
"4304",25855425,NA,1,-26473.46,0,0,2013-02-28,2013-06-13,NA,2013-06-13,2013,"Unknown Other"
"4305",60417882,NA,1,408657.1691,1,0,2017-08-04,2015-07-27,2015-07-27,2015-08-06,2015,"Close/Term LastCurrent Out of Range"
"4306",18190461,NA,1,54820,1,1,2017-10-08,2010-10-29,2011-10-29,2010-10-29,2011,"Close/Term LastCurrent Out of Range"
"4307",1420482,NA,1,0,1,0,NA,2009-04-03,2013-04-26,2009-04-03,2009,"Close/Term LastCurrent Out of Range"
"4308",61148604,NA,1,-12392,0,0,2003-05-01,2014-11-07,NA,2014-11-06,2015,"Unknown Other"
"4309",62905792,NA,1,0,0,1,NA,2014-11-06,2014-11-06,2014-11-06,2015,"Close/Term LastCurrent Out of Range"
"4310",7988079,NA,1,0,0,1,NA,2009-06-18,2009-06-18,2009-06-18,2009,"Close/Term LastCurrent Out of Range"
"4311",62930167,NA,1,0,1,1,NA,2015-03-13,2015-03-13,2015-04-01,2015,"Close/Term LastCurrent Out of Range"
"4312",2942429,NA,1,-12.5,1,0,1998-08-31,2010-06-04,NA,2010-06-04,2010,"Unknown Close/Term"
"4313",18765992,NA,1,-2742.45,1,0,2009-02-25,2009-02-25,NA,2009-02-25,2009,"Unknown Close/Term"
"4314",62571748,NA,1,0,0,0,2015-09-14,2015-03-04,NA,2015-03-04,2015,"Unknown Other"
"4315",62607699,NA,1,0,0,0,2016-04-11,2015-09-22,2015-09-22,2015-09-22,2015,"Unknown Other"
"4316",60344247,NA,1,3878,1,0,2017-10-02,2014-11-13,2014-11-13,2014-11-13,2015,"Close/Term LastCurrent Out of Range"
"4317",1306181,NA,1,0,1,0,NA,2009-12-01,2009-12-01,2009-12-02,2010,"Close/Term LastCurrent Out of Range"
"4318",24508640,NA,1,335200,1,0,2030-12-25,2008-08-26,2008-08-26,2008-08-26,2008,"Close/Term LastCurrent Out of Range"
"4319",27859360,NA,1,567715,1,0,2018-09-30,2014-05-21,2015-11-23,2014-05-21,2014,"Close/Term LastCurrent Out of Range"
"4320",25881110,NA,1,268382.2002,1,0,2018-09-30,2013-03-21,2013-03-21,2013-03-21,2013,"Close/Term LastCurrent Out of Range"
"4321",25841799,NA,1,5927.2,0,0,2013-09-30,2012-11-07,2012-11-07,2012-11-05,2013,"Unknown Other"
"4322",27525125,NA,1,288953.75,0,1,2017-10-31,2014-07-30,2016-11-01,2014-08-01,2014,"Close/Term LastCurrent Out of Range"
