fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2014	0	0	N	N	0	0	NULL	1	1	O	1	349706.0700
2002	0	0	X	N	0	0	0	0	1	:	7	310611.0000
2021	1	1	Y	N	0	0	0	1	0	O	2378	3506717161.9259
2012	1	1	Y	N	0	0	0	1	0	O	3035	2534050689.0948
2015	1	1	N	N	0	0	0	0	1	S	6434	29302869.5600
2010	0	0	N	W	0	1	0	0	1	S	3	13838.0596
2011	0	0	N		0	0	0	0	1	S	46	427390.9446
2010	1	1	N	N	0	1	0	0	1	O	53	89922389.6274
2009	0	0	N		0	1	0	0	1	O	2355	58214320.4832
2017	1	1		N	1	0	0	1	1	O	13	31793011.6719
2022	0	0	NULL	N	0	0	0	0	1	O	231	3250269.7900
2017	0	1	NULL	W	0	1	0	1	1	S	10	14520551.2000
2008	0	1	Y	N	0	0	0	0	0	O	4959	2438198736.0645
2005	0	0	X	Y	0	0	1	0	1	O	5	349511.0000
2006	0	0	X	N	0	0	0	1	1	:	1	1818.0000
2002	0	1	X	W	0	0	0	1	1	S	7	5757366.0000
2013	1	1	X	N	0	0	0	1	1	S	5772	1733347865.1191
2016	0	1	NULL	W	0	0	0	0	0	O	56	7784917.9100
2006	1	1	Y		1	0	0	0	1	O	37	53521920.0000
2012	1	1			0	0	0	0	0	S	39	29542788.4265
2008	1	1	Y	W	0	1	0	0	1	S	1	0.0000
2018	0	0			0	0	0	0	1	S	449023	3908805724.7332
2011	0	1		N	0	0	1	0	1	O	1	2488100.0000
2010	0	1	X		0	0	1	0	1	O	7	115613.0293
2023	1	1	X	N	0	0	0	0	1	S	5209	5643170255.2574
2016	1	1		W	0	1	0	0	1	S	1	1319676.7500
2017	1	1	N	W	0	1	0	0	1	O	4	0.0000
2024	0	0	Y	N	0	0	0	0	1	S	4	-203861.9658
2016	1	1	X	NULL	0	1	0	0	1	S	147	-1211497.4600
2021	0	1		N	0	0	0	1	1	O	1659	782172566.7783
2017	0	0			0	1	1	0	1	O	50	1835020.8588
2011	1	1	X	N	1	0	0	0	1	O	450	189613782.1998
2017	0	0		N	0	0	NULL	1	1	O	2	0.0000
2009	1	1	N	N	1	0	1	1	1	O	2	6898124.0000
