Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Science,Life sciences,Agricultural sciences,Department of Commerce,National Institute of Standards and Technology,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,913,"1,602","1,818","1,207","2,220","2,020","1,266",900
Science,Life sciences,Agricultural sciences,Department of Commerce,National Institute of Standards and Technology,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,913,"1,602","1,818","1,207","2,220","2,020","1,266",900
Science,Life sciences,Agricultural sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Total for selected values,Total for selected values,"8,153","7,454","8,978","4,319","5,612","5,656","4,511","4,440","4,829","4,867","10,820","9,119","8,503","3,090","14,253","15,620","11,868","11,050","11,439","26,161","22,709"
Science,Life sciences,Agricultural sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Applied research,Total for selected values,"8,153","7,454","8,978","4,319","5,612","5,656","4,511","4,440","4,829","4,867","10,820","9,119","8,503","3,090","14,253","15,620","11,868","11,050","11,439","26,161","22,709"
Science,Life sciences,Agricultural sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Applied research,Other than universities and colleges,"8,153","7,454","8,978","4,319","5,612","5,656","4,511","4,440","4,829","4,867","10,820","9,119","8,503","3,090","14,253","15,620","11,868","11,050","11,439","26,161","22,709"
Science,Life sciences,Agricultural sciences,Department of Defense,Total for selected values,Total for selected values,Total for selected values,"6,545","12,162","7,609","10,816","6,928","2,930",-,"1,076","2,827","3,361",232,"2,975","2,045","1,889","2,161","2,116","2,259","1,885","1,545",749,-
Science,Life sciences,Agricultural sciences,Department of Defense,Defense agencies and activities,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,"3,002",232,"1,870",976,840,"1,058",976,"1,264","1,188",647,749,-
Science,Life sciences,Agricultural sciences,Department of Defense,Defense agencies and activities,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,"3,002",232,"1,870",976,840,"1,058",976,"1,264","1,188",647,749,-
Science,Life sciences,Agricultural sciences,Department of Defense,Defense agencies and activities,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,"3,002",232,"1,870",976,840,"1,058",976,"1,264","1,188",647,749,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Air Force,Total for selected values,Total for selected values,"3,661","8,403","6,231","9,216","4,083","1,427",-,-,-,359,-,-,-,-,-,-,-,-,-,-,-
