Defense Agency Prodserv

"Fiscal Year","Date Signed","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value","Dollars Obligated","Number of Actions","Number of Records"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$63,382.00","$63,382.00","$46,336.46","2","2"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($108,749.71)","($108,749.71)","($108,749.71)","2","2"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$1,784,020.57","$11,981,240.63","$4,036,799.29","15","15"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$1,499,991.00","$1,499,991.00","$2,014,153.41","7","7"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","$0.00","$0.00","$0.00","1","1"
"2021","1/6/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$1,132,654.60","$1,873,735.96","$1,700,673.64","19","19"
"2021","1/7/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$430,557,206.67","$168,348,590.96","$235,472,298.72","735","735"
"2021","1/7/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$81,601,297.59","$132,782,162.98","$139,901,370.72","584","584"
"2021","1/7/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$2,887,206,795.60","$35,115,630.54","$194,741,550.84","329","329"
"2021","1/7/2021","9700","DEPT OF DEFENSE","9748","DEFENSE HUMAN RESOURCES ACTIVITY","$0.00","$0.00","$0.00","1","1"
"2021","1/7/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$790,046.31","$698,621.31","9","9"
"2021","1/7/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$8,519,948.24","$8,496,857.24","$6,675,870.39","128","128"
"2021","1/7/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$1,099,995.56","$1,099,995.56","$2,127,995.56","2","2"
"2021","1/7/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$6,995,893.70","$8,794,513.70","$8,794,513.70","10","10"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$930,701.00","$3,339,600.83","$3,264,786.33","6","6"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$210,866.63","$2,486,957.59","$11,964,974.77","108","108"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$107,478,016.49","$95,596,294.42","$95,850,165.64","14,675","14,675"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$194,057.43","$147,257.43","$221,657.43","28","28"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$236,711.97","$236,711.97","1","1"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$4,000,433.14","$368,489.51","$382,419.11","12","12"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$0.00","$0.00","$1,541,280.25","1","1"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$829,147.25","$705,397.25","$705,397.25","3","3"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$16,999.60","($502,111.42)","($502,111.42)","8","8"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97HW","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","$283,800.00","$283,800.00","$283,800.00","1","1"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","($30,651,199.40)","($30,901,199.40)","$47,650,129.19","10","10"
"2021","1/7/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","($937,902.50)","$5,964,979.99","$1,498,619.10","29","29"
"2021","1/8/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$199,438,665.80","$450,256,093.57","$474,833,160.66","580","580"
"2021","1/8/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$403,250,899.77","$403,592,005.19","$497,973,728.02","537","537"
"2021","1/8/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$479,224,737.88","$423,077,810.57","$197,062,528.88","276","276"
"2021","1/8/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","($340,970.28)","($340,970.28)","($576,187.26)","6","6"
"2021","1/8/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($83,543.91)","($83,543.91)","($83,543.91)","17","17"
"2021","1/8/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$1,099,988.76","$1,099,988.76","$1,099,988.76","1","1"
"2021","1/8/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$2,951,020.21","$2,951,020.21","$2,951,020.21","16","16"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","($2,892,041.36)","$56,013,020.64","$15,327,214.04","11","11"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$31,791,098.23","$4,412,465.81","$784,184.82","49","49"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$734,396,050.36","$58,791,823.86","$61,228,302.86","11,459","11,459"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$2,552.40","$2,552.40","$2,552.40","1","1"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$1,425,808.65","$1,492,341.77","$1,553,884.01","25","25"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","($30,705.63)","($30,705.63)","($30,705.63)","1","1"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$12,097,624.81","$5,913,603.25","$193,253,818.35","20","20"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$132,236.55","$132,236.55","$164,079.27","3","3"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$160,681.68","$160,681.68","$160,681.68","3","3"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$8,796,986.72","$3,016,379.72","$3,473,628.95","14","14"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97HW","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","$40,370.36","$45,314.36","$45,314.36","2","2"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$874,476.07","$874,476.07","$5,508,954.75","8","8"
"2021","1/8/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$3,258,331.21","$2,886,404.15","$4,248,304.00","21","21"
"2021","1/9/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$2,613,865.75","$2,613,865.75","$3,344,051.75","23","23"
"2021","1/9/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$4,574,275.20","$6,111,255.03","$6,050,607.63","14","14"
"2021","1/9/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$360,920.46","$360,920.46","$360,920.46","6","6"
"2021","1/9/2021","9700","DEPT OF DEFENSE","9748","DEFENSE HUMAN RESOURCES ACTIVITY","($1,934,610.00)","$2,902,470.00","$1,937,610.00","1","1"
"2021","1/9/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$114,440,379.11","$18,780,378.49","$18,780,378.49","1,069","1,069"
"2021","1/9/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","($57,960.50)","($57,960.50)","($57,960.50)","2","2"
"2021","1/9/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$24,507,370.68","$4,725,710.84","$728,194.52","2","2"
"2021","1/9/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$0.00","$1,547,239.86","$199,908.00","1","1"
"2021","1/10/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$5,143,834.18","$1,053,696.47","$1,626,723.34","20","20"
"2021","1/10/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$8,662,905.72","$8,833,611.40","$8,833,611.40","28","28"
"2021","1/10/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$12,657,441.53","$12,753,476.53","$6,483,975.53","8","8"
"2021","1/10/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$8,704.04","$8,704.04","$8,704.04","1","1"
"2021","1/10/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$32,615.37","$32,615.37","$32,615.37","1","1"
"2021","1/10/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$6,618,366.94","$6,618,366.94","$6,618,366.94","1,172","1,172"
"2021","1/10/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$54,489.14","$27,800.58","$27,800.58","1","1"
"2021","1/10/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$0.00","$0.00","$0.00","1","1"
"2021","1/10/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$0.00","$0.00","$0.00","1","1"
"2021","1/11/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$101,460,869.34","$71,086,999.23","$97,074,285.20","695","694"
"2021","1/11/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$156,591,471.91","$114,176,458.49","$113,334,971.00","520","520"
"2021","1/11/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$213,342,283.09","$50,242,356.29","$77,542,485.72","255","255"
"2021","1/11/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$0.00","$378,234.44","1","1"
"2021","1/11/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($6,491,189.47)","($6,491,189.47)","($7,555,253.47)","51","51"
"2021","1/11/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","($348.00)","($348.00)","$299,652.00","2","2"
"2021","1/11/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$29,044.29","$29,044.29","$29,044.29","3","3"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$246,050.00","3","3"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$24,599,609.16","$13,437,228.10","$7,917,895.68","82","82"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$244,448,952.83","$84,183,443.34","$84,770,867.39","16,160","16,160"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$235,044.87","$235,044.87","$235,044.86","30","30"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","($1,033,910.20)","($1,033,910.20)","($1,033,910.20)","3","3"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$1,968,223.07","$1,968,223.07","$6,161,835.00","7","7"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$0.00","$0.00","$0.00","1","1"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$1,213,400.00","$38,000.00","$38,000.00","3","3"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$1,493,490.87","$993,977.93","$1,518,418.93","6","6"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$1,461,490.00","$1,461,490.00","$1,254,139.00","5","5"
"2021","1/11/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$31,984,393.01","$37,821,951.90","$17,491,509.90","26","26"
"2021","1/12/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$350,760,222.39","$140,254,351.18","$135,144,228.42","699","699"
"2021","1/12/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$2,840,161,275.86","$2,708,781,284.85","$2,728,574,665.84","618","618"
"2021","1/12/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$33,376,531,359.87","$2,015,969,066.36","$1,950,878,121.76","388","388"
"2021","1/12/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","($50,000.00)","$3,807,008.84","$7,747,293.13","5","5"
"2021","1/12/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$14,549,443.61","$14,549,443.61","$18,952,354.08","62","62"
"2021","1/12/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$451,852.95","$89,342.55","$90,627.60","2","2"
"2021","1/12/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$541,555.00","$541,555.00","$541,555.00","11","11"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$0.00","4","4"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$2,634,254.35","$7,001,527.71","$6,041,285.55","76","76"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$139,741,551.30","$112,718,324.72","$114,097,874.42","16,629","16,629"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$0.00","$9,607,786.76","$9,607,786.76","2","2"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$347,899.62","$685,487.30","$322,601.44","29","29"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$0.00","$0.00","1","1"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97CY","U.S. CYBER COMMAND","$17,805.00","$17,805.00","$17,805.00","1","1"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$31,214,897.76","$17,067,263.86","$6,203,912.88","11","11"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$2,041,166.26","$170,045.94","$170,045.00","5","5"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$455,170.00","$308,510.00","$308,510.00","6","6"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$28,221,753.13","$37,448,552.29","$31,449,832.59","26","26"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$9,373,097.75","$7,055,907.35","$12,109,751.46","13","13"
"2021","1/12/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$3,086,624.88","$15,310,553.62","$4,942,145.65","28","28"
"2021","1/13/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$592,750,418.32","$305,965,238.88","$288,061,691.19","2,608","2,608"
"2021","1/13/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$172,938,496.56","$119,329,145.65","$114,439,473.99","624","616"
"2021","1/13/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$34,141,106.25","$33,095,794.28","$76,711,784.03","310","310"
"2021","1/13/2021","9700","DEPT OF DEFENSE","9748","DEFENSE HUMAN RESOURCES ACTIVITY","$0.00","$0.01","$0.01","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$0.00","$0.00","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$27,907,247.11","$27,907,247.11","$27,116,719.24","47","47"
"2021","1/13/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$0.00","$4,108.20","$4,108.20","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$4,949,197.69","$4,949,197.69","$4,949,197.69","17","17"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$286,844.00","$19,766,470.00","$3,283,029.00","9","9"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$32,325,013.89","$61,253,056.52","$44,785,027.10","152","152"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","($493,262,211.41)","$164,640,656.32","$126,357,884.32","16,357","16,357"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$768,095.07","$691,334.90","$1,108,742.06","63","63"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","($2,500.00)","$27,685.88","$27,685.88","3","3"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$63,502.74","$63,502.74","$113,230.74","7","7"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$29,120.00","$29,120.00","$29,120.00","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$96,075.22","$102,365.22","$102,365.22","6","6"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$2,101,461.40","$2,325,061.50","$7,783,857.71","12","12"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97HW","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","$0.00","$0.00","$0.00","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","($87,765,395.48)","($87,765,395.48)","$3,143,667.13","12","12"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","$0.00","$0.00","$0.00","1","1"
"2021","1/13/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$31,410,809.57","$10,430,122.87","$3,781,579.70","20","20"
"2021","1/14/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$6,517,722,152.29","$264,007,345.28","$277,004,321.62","956","956"
"2021","1/14/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$199,717,152.43","$310,050,394.02","$285,739,907.70","693","693"
"2021","1/14/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$230,604,854.54","$100,536,186.50","$124,333,530.85","374","374"
"2021","1/14/2021","9700","DEPT OF DEFENSE","9748","DEFENSE HUMAN RESOURCES ACTIVITY","$4,472,884.80","$2,872,141.34","$2,502,515.34","2","2"
"2021","1/14/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$41,560,193.38","$3,318,188.38","$3,318,438.38","3","3"
"2021","1/14/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$4,105,759.14","$4,105,759.14","$26,082,441.00","51","51"
"2021","1/14/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$0.00","$0.00","$1,500,000.00","5","5"
"2021","1/14/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$7,742,295.31","$7,742,295.31","$7,742,295.31","42","42"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$1,600,423.95","$4,292,084.95","$1,433,767.95","5","5"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$100,349,125.56","$57,299,343.13","$34,474,976.77","147","147"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$398,929,414.65","$100,204,046.20","$104,487,880.67","15,927","15,927"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","($167,297.76)","($167,297.76)","$2,932,702.24","3","3"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$462,730.41","$529,700.41","$1,246,318.66","15","15"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","($499,962.71)","($473,305.27)","($473,305.27)","5","5"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$12,383,234.62","$8,653,885.05","$4,156,814.05","22","22"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($144,423.16)","($84,758.94)","($84,758.94)","8","8"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$5,129,790.41","$2,979,982.33","$3,099,451.18","11","11"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$121,643.80","$121,643.80","$15,805,594.30","15","15"
"2021","1/14/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$742,141.50","$839,757.38","$6,820,337.90","34","34"
"2021","1/15/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$544,619,608.53","$286,955,649.48","$299,950,487.34","676","676"
"2021","1/15/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$1,607,028,850.31","$344,896,904.40","$347,634,946.05","578","571"
"2021","1/15/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$143,932,525.59","$148,085,227.13","$444,924,583.28","250","249"
"2021","1/15/2021","9700","DEPT OF DEFENSE","9748","DEFENSE HUMAN RESOURCES ACTIVITY","$0.00","$721,871.04","$721,871.04","1","1"
"2021","1/15/2021","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$98,100.00","$27,655.03","$27,655.03","4","4"
"2021","1/15/2021","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($227,405.12)","($364,693.38)","($378,013.66)","30","30"
"2021","1/15/2021","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$162,000.00","$48,000.00","$48,000.00","3","3"
"2021","1/15/2021","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$19,927,199.68","$19,927,199.68","$19,927,199.68","1,994,053","26"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$54,094,771.00","$29,676,273.00","$9,614,284.00","5","5"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$17,687,050.87","$18,947,558.48","$19,502,533.51","49","49"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$120,329,127.28","$88,634,898.05","$93,565,348.40","12,038","12,038"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$349,557.63","$309,996.17","$430,608.41","23","23"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$22,754,796.48","$16,429,857.30","$16,254,285.62","17","17"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($2,111,974.95)","$1,295,917.45","$1,295,917.45","7","7"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","($1,232,803.53)","$18,246,901.55","$7,029,198.75","8","8"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$254,497,362.72","$254,497,362.72","$126,485,004.80","5","5"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","($7,999,001.00)","$0.00","$0.00","1","1"
"2021","1/15/2021","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","($418,231.17)","$223,021.83","$782,138.80","19","19"
"2021","1/16/2021","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$346,173.99","$796,173.99","$2,386,054.62","19","19"
"2021","1/16/2021","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$24,206,488.33","$22,407,352.36","$22,407,352.36","13","13"
"2021","1/16/2021","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$1,292,229.52","$11,882,547.34","$4,072,806.20","10","10"
"2021","1/16/2021","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$8,307,212.57","$1,245,864.20","$1,245,864.20","10","10"
